"FlyBaseID","Fold.Enrichment","FDR.p.value","Human.GeneID","Human.Symbol"
"FBgn0001297",1.51,0,2355,"FOSL2"
"FBgn0001297",1.51,0,2353,"FOS"
"FBgn0001297",1.51,0,8061,"FOSL1"
"FBgn0001297",1.51,0,2354,"FOSB"
"FBgn0001297",1.8,0,2355,"FOSL2"
"FBgn0001297",1.8,0,2353,"FOS"
"FBgn0001297",1.8,0,8061,"FOSL1"
"FBgn0001297",1.8,0,2354,"FOSB"
"FBgn0001297",2.14,0,2355,"FOSL2"
"FBgn0001297",2.14,0,2353,"FOS"
"FBgn0001297",2.14,0,8061,"FOSL1"
"FBgn0001297",2.14,0,2354,"FOSB"
"FBgn0001491",1.61,0.00069,8896,"BUD31"
"FBgn0001565",1.77,0.0015,54606,"DDX56"
"FBgn0001624",2.14,0,1739,"DLG1"
"FBgn0001624",2.14,0,1742,"DLG4"
"FBgn0001624",2.14,0,1740,"DLG2"
"FBgn0001624",2.14,0,1741,"DLG3"
"FBgn0001624",2.39,0,1739,"DLG1"
"FBgn0001624",2.39,0,1742,"DLG4"
"FBgn0001624",2.39,0,1740,"DLG2"
"FBgn0001624",2.39,0,1741,"DLG3"
"FBgn0001941",1.5,8e-04,123099,"DEGS2"
"FBgn0001941",1.5,8e-04,8560,"DEGS1"
"FBgn0001970",1.95,0,63917,"GALNT11"
"FBgn0001970",1.95,0,168391,"GALNTL5"
"FBgn0001970",1.67,0,63917,"GALNT11"
"FBgn0001970",1.67,0,168391,"GALNTL5"
"FBgn0001977",2,0,57019,"CIAPIN1"
"FBgn0001980",1.52,0.00067,8452,"CUL3"
"FBgn0001986",1.62,0.00018,23517,"SKIV2L2"
"FBgn0002031",1.6,0,5245,"PHB"
"FBgn0002044",1.75,0,64062,"RBM26"
"FBgn0002044",1.75,0,54439,"RBM27"
"FBgn0002069",1.9,0,1615,"DARS"
"FBgn0002283",1.79,0,10336,"PCGF3"
"FBgn0002283",1.79,0,648,"BMI1"
"FBgn0002413",1.77,0,1454,"CSNK1E"
"FBgn0002413",1.77,0,1453,"CSNK1D"
"FBgn0002413",1.77,0,1452,"CSNK1A1"
"FBgn0002413",1.62,0,1454,"CSNK1E"
"FBgn0002413",1.62,0,1453,"CSNK1D"
"FBgn0002413",1.62,0,1452,"CSNK1A1"
"FBgn0002521",1.86,0,7528,"YY1"
"FBgn0002521",1.86,0,404281,"YY2"
"FBgn0002543",1.57,0,6091,"ROBO1"
"FBgn0002543",1.62,0.00018,6091,"ROBO1"
"FBgn0002609",1.77,0,55502,"HES6"
"FBgn0002622",2.27,0,6188,"RPS3"
"FBgn0002626",1.77,0,6161,"RPL32"
"FBgn0002641",1.96,5e-04,55034,"MOCOS"
"FBgn0002707",2.45,0,2072,"ERCC4"
"FBgn0002774",1.96,0,1660,"DHX9"
"FBgn0002780",1.75,0,4691,"NCL"
"FBgn0002781",1.85,0,998,"CDC42"
"FBgn0002781",1.85,0,26,"ABP1"
"FBgn0002781",1.85,0,7709,"ZBTB17"
"FBgn0002781",1.85,0,9880,"ZBTB39"
"FBgn0002791",1.7,0,29882,"ANAPC2"
"FBgn0002905",1.69,0,10721,"POLQ"
"FBgn0002914",1.77,0,4602,"MYB"
"FBgn0002914",1.77,0,4603,"MYBL1"
"FBgn0002914",1.77,0,4605,"MYBL2"
"FBgn0002914",1.55,0.00654,4602,"MYB"
"FBgn0002914",1.55,0.00654,4603,"MYBL1"
"FBgn0002914",1.55,0.00654,4605,"MYBL2"
"FBgn0002921",1.56,0,478,"ATP1A3"
"FBgn0002921",1.56,0,476,"ATP1A1"
"FBgn0002921",1.56,0,477,"ATP1A2"
"FBgn0002921",1.56,0,479,"ATP12A"
"FBgn0002921",1.56,0,495,"ATP4A"
"FBgn0002921",1.56,0,480,"ATP1A4"
"FBgn0002932",1.83,0,9148,"NEURL"
"FBgn0002932",1.83,0,54492,"NEURL1B"
"FBgn0002932",1.96,0,9148,"NEURL"
"FBgn0002932",1.96,0,54492,"NEURL1B"
"FBgn0002932",1.77,0,9148,"NEURL"
"FBgn0002932",1.77,0,54492,"NEURL1B"
"FBgn0002940",1.75,0,94233,"OPN4"
"FBgn0002940",1.85,0,94233,"OPN4"
"FBgn0003076",1.6,0.00047,5236,"PGM1"
"FBgn0003076",1.6,0.00047,5239,"PGM5"
"FBgn0003076",2.1,0,5236,"PGM1"
"FBgn0003076",2.1,0,5239,"PGM5"
"FBgn0003138",1.53,8e-04,5770,"PTPN1"
"FBgn0003138",1.53,8e-04,5771,"PTPN2"
"FBgn0003165",1.83,0,23369,"PUM2"
"FBgn0003165",1.83,0,9698,"PUM1"
"FBgn0003165",1.64,0,23369,"PUM2"
"FBgn0003165",1.64,0,9698,"PUM1"
"FBgn0003277",2.51,0,5430,"POLR2A"
"FBgn0003277",2.51,0,643664,"SLC35G6"
"FBgn0003277",2.51,0,11128,"POLR3A"
"FBgn0003277",1.96,5e-04,5430,"POLR2A"
"FBgn0003277",1.96,5e-04,643664,"SLC35G6"
"FBgn0003277",1.96,5e-04,11128,"POLR3A"
"FBgn0003321",1.77,0.0015,10482,"NXF1"
"FBgn0003321",1.77,0.0015,55998,"NXF5"
"FBgn0003321",1.77,0.0015,56000,"NXF3"
"FBgn0003321",1.77,0.0015,56001,"NXF2"
"FBgn0003321",1.77,0.0015,728343,"NXF2B"
"FBgn0003346",1.5,8e-04,5905,"RANGAP1"
"FBgn0003360",1.96,0,291,"SLC25A4"
"FBgn0003360",1.96,0,292,"SLC25A5"
"FBgn0003360",1.96,0,293,"SLC25A6"
"FBgn0003360",1.96,0,83447,"SLC25A31"
"FBgn0003392",1.86,0.00067,1759,"DNM1"
"FBgn0003392",1.86,0.00067,1785,"DNM2"
"FBgn0003392",1.86,0.00067,26052,"DNM3"
"FBgn0003392",1.74,0.00183,1759,"DNM1"
"FBgn0003392",1.74,0.00183,1785,"DNM2"
"FBgn0003392",1.74,0.00183,26052,"DNM3"
"FBgn0003396",2.18,0,3097,"HIVEP2"
"FBgn0003396",2.18,0,59269,"HIVEP3"
"FBgn0003396",2.18,0,3096,"HIVEP1"
"FBgn0003396",2.01,0,3097,"HIVEP2"
"FBgn0003396",2.01,0,59269,"HIVEP3"
"FBgn0003396",2.01,0,3096,"HIVEP1"
"FBgn0003401",1.83,0,8468,"FKBP6"
"FBgn0003415",1.5,0.0011,9969,"MED13"
"FBgn0003415",1.5,0.0011,23389,"MED13L"
"FBgn0003423",1.89,0.00051,5625,"PRODH"
"FBgn0003444",1.88,0,6608,"SMO"
"FBgn0003464",1.77,0.0015,6650,"SOLH"
"FBgn0003464",1.74,0,6650,"SOLH"
"FBgn0003479",2.09,0,5888,"RAD51"
"FBgn0003514",1.89,0,10627,"MYL12A"
"FBgn0003514",1.89,0,10398,"MYL9"
"FBgn0003514",1.89,0,103910,"MYL12B"
"FBgn0003525",1.51,0.0011,993,"CDC25A"
"FBgn0003525",1.51,0.0011,994,"CDC25B"
"FBgn0003525",1.51,0.0011,995,"CDC25C"
"FBgn0003525",1.54,0,993,"CDC25A"
"FBgn0003525",1.54,0,994,"CDC25B"
"FBgn0003525",1.54,0,995,"CDC25C"
"FBgn0003567",1.83,0,730087,"ZNF726"
"FBgn0003567",1.83,0,63978,"PRDM14"
"FBgn0003567",1.83,0,7695,"ZNF136"
"FBgn0003567",1.83,0,171017,"ZNF384"
"FBgn0003567",1.83,0,79692,"ZNF322"
"FBgn0003567",1.83,0,65251,"ZNF649"
"FBgn0003567",1.83,0,90874,"ZNF697"
"FBgn0003567",1.83,0,7772,"ZNF229"
"FBgn0003567",1.83,0,387328,"ZNF322P1"
"FBgn0003567",1.83,0,353088,"ZNF429"
"FBgn0003567",1.83,0,7757,"ZNF208"
"FBgn0003567",1.83,0,7596,"ZNF45"
"FBgn0003567",1.83,0,91392,"ZNF502"
"FBgn0003567",1.83,0,348327,"ZNF530"
"FBgn0003567",1.83,0,25799,"ZNF324"
"FBgn0003567",1.83,0,388567,"ZNF749"
"FBgn0003567",1.83,0,57541,"ZNF398"
"FBgn0003567",1.83,0,64412,"GZF1"
"FBgn0003607",1.9,0,23468,"CBX5"
"FBgn0003607",1.9,0,10951,"CBX1"
"FBgn0003654",1.52,0.00774,1781,"DYNC1I2"
"FBgn0003654",1.52,0.00774,1780,"DYNC1I1"
"FBgn0003748",1.96,0,11181,"TREH"
"FBgn0003748",1.6,5e-04,11181,"TREH"
"FBgn0003887",1.65,0,10383,"TUBB4B"
"FBgn0003887",1.65,0,10382,"TUBB4A"
"FBgn0003887",1.65,0,203068,"TUBB"
"FBgn0003887",1.65,0,7280,"TUBB2A"
"FBgn0003887",1.65,0,347733,"TUBB2B"
"FBgn0003892",1.52,0,5727,"PTCH1"
"FBgn0003892",1.52,0,8643,"PTCH2"
"FBgn0003943",1.97,0,7316,"UBC"
"FBgn0003964",2.11,0,6257,"RXRB"
"FBgn0003964",2.11,0,6258,"RXRG"
"FBgn0003964",2.11,0,6256,"RXRA"
"FBgn0003977",2.21,0,25962,"KIAA1429"
"FBgn0004057",1.92,0.00047,2539,"G6PD"
"FBgn0004057",1.61,0.00435,2539,"G6PD"
"FBgn0004057",2.08,0,2539,"G6PD"
"FBgn0004106",1.5,8e-04,983,"CDK1"
"FBgn0004106",1.5,8e-04,1017,"CDK2"
"FBgn0004145",1.57,0.00047,527,"ATP6V0C"
"FBgn0004179",1.58,0,80331,"DNAJC5"
"FBgn0004179",1.58,0,85479,"DNAJC5B"
"FBgn0004179",1.58,0,285126,"DNAJC5G"
"FBgn0004227",1.55,0.00654,6421,"SFPQ"
"FBgn0004227",1.55,0.00654,4841,"NONO"
"FBgn0004227",1.55,0.00654,55269,"PSPC1"
"FBgn0004227",2.05,0,6421,"SFPQ"
"FBgn0004227",2.05,0,4841,"NONO"
"FBgn0004227",2.05,0,55269,"PSPC1"
"FBgn0004237",2.29,0,220988,"HNRNPA3"
"FBgn0004237",2.29,0,3181,"HNRNPA2B1"
"FBgn0004237",2.29,0,3178,"HNRNPA1"
"FBgn0004237",2.29,0,144983,"HNRNPA1L2"
"FBgn0004237",2.29,0,10949,"HNRNPA0"
"FBgn0004390",1.84,0,22821,"RASA3"
"FBgn0004390",1.84,0,5922,"RASA2"
"FBgn0004396",2.15,0,90993,"CREB3L1"
"FBgn0004396",2.15,0,64764,"CREB3L2"
"FBgn0004396",2.02,0,90993,"CREB3L1"
"FBgn0004396",2.02,0,64764,"CREB3L2"
"FBgn0004396",2.33,0,90993,"CREB3L1"
"FBgn0004396",2.33,0,64764,"CREB3L2"
"FBgn0004407",1.95,0,11232,"POLG2"
"FBgn0004419",1.73,0,1656,"DDX6"
"FBgn0004432",1.71,0.00218,10105,"PPIF"
"FBgn0004432",1.71,0.00218,10450,"PPIE"
"FBgn0004507",1.5,8e-04,5837,"PYGM"
"FBgn0004507",1.5,8e-04,5836,"PYGL"
"FBgn0004507",1.5,8e-04,5834,"PYGB"
"FBgn0004584",1.6,5e-04,328,"APEX1"
"FBgn0004587",2.29,0,6431,"SRSF6"
"FBgn0004587",2.29,0,6429,"SRSF4"
"FBgn0004587",2.29,0,6430,"SRSF5"
"FBgn0004597",2.22,0,892,"CCNC"
"FBgn0004606",1.62,0,6935,"ZEB1"
"FBgn0004606",1.62,0,9839,"ZEB2"
"FBgn0004636",1.71,0,5906,"RAP1A"
"FBgn0004636",1.71,0,5908,"RAP1B"
"FBgn0004636",1.79,0,5906,"RAP1A"
"FBgn0004636",1.79,0,5908,"RAP1B"
"FBgn0004648",1.96,5e-04,1362,"CPD"
"FBgn0004648",1.96,5e-04,1368,"CPM"
"FBgn0004652",1.8,0,9880,"ZBTB39"
"FBgn0004654",1.58,0.00515,5226,"PGD"
"FBgn0004654",2.05,0,5226,"PGD"
"FBgn0004654",1.99,0,5226,"PGD"
"FBgn0004654",1.74,0.00046,5226,"PGD"
"FBgn0004656",1.96,5e-04,23476,"BRD4"
"FBgn0004656",1.96,5e-04,6046,"BRD2"
"FBgn0004656",1.96,5e-04,676,"BRDT"
"FBgn0004656",1.96,5e-04,8019,"BRD3"
"FBgn0004656",1.83,8e-04,23476,"BRD4"
"FBgn0004656",1.83,8e-04,6046,"BRD2"
"FBgn0004656",1.83,8e-04,676,"BRDT"
"FBgn0004656",1.83,8e-04,8019,"BRD3"
"FBgn0004698",1.65,0,7508,"XPC"
"FBgn0004837",2,0,3516,"RBPJ"
"FBgn0004855",1.83,0,5438,"POLR2I"
"FBgn0004856",1.99,0.00018,22938,"SNW1"
"FBgn0004859",1.53,0.00515,2737,"GLI3"
"FBgn0004859",1.53,0.00515,2736,"GLI2"
"FBgn0004859",1.53,0.00515,2735,"GLI1"
"FBgn0004860",1.89,0,1912,"PHC2"
"FBgn0004860",1.89,0,80012,"PHC3"
"FBgn0004860",1.89,0,1911,"PHC1"
"FBgn0004861",1.96,0,80012,"PHC3"
"FBgn0004861",1.96,0,1912,"PHC2"
"FBgn0004861",1.96,0,1911,"PHC1"
"FBgn0004861",2.05,0,80012,"PHC3"
"FBgn0004861",2.05,0,1912,"PHC2"
"FBgn0004861",2.05,0,1911,"PHC1"
"FBgn0004861",2.27,0,80012,"PHC3"
"FBgn0004861",2.27,0,1912,"PHC2"
"FBgn0004861",2.27,0,1911,"PHC1"
"FBgn0004861",1.74,0.00046,80012,"PHC3"
"FBgn0004861",1.74,0.00046,1912,"PHC2"
"FBgn0004861",1.74,0.00046,1911,"PHC1"
"FBgn0004868",1.5,8e-04,2664,"GDI1"
"FBgn0004868",1.5,8e-04,2665,"GDI2"
"FBgn0004868",1.5,0,2664,"GDI1"
"FBgn0004868",1.5,0,2665,"GDI2"
"FBgn0004889",1.67,0,55844,"PPP2R2D"
"FBgn0004889",1.67,0,5520,"PPP2R2A"
"FBgn0004889",1.67,0,5521,"PPP2R2B"
"FBgn0004889",1.67,0,5522,"PPP2R2C"
"FBgn0004893",1.55,0,116039,"OSR2"
"FBgn0004893",1.55,0,130497,"OSR1"
"FBgn0004893",1.98,0,116039,"OSR2"
"FBgn0004893",1.98,0,130497,"OSR1"
"FBgn0004893",1.85,0,116039,"OSR2"
"FBgn0004893",1.85,0,130497,"OSR1"
"FBgn0004903",1.8,0,3181,"HNRNPA2B1"
"FBgn0004903",1.8,0,10949,"HNRNPA0"
"FBgn0004903",1.8,0,3178,"HNRNPA1"
"FBgn0004903",1.8,0,144983,"HNRNPA1L2"
"FBgn0004903",1.8,0,220988,"HNRNPA3"
"FBgn0004903",1.54,8e-04,3181,"HNRNPA2B1"
"FBgn0004903",1.54,8e-04,10949,"HNRNPA0"
"FBgn0004903",1.54,8e-04,3178,"HNRNPA1"
"FBgn0004903",1.54,8e-04,144983,"HNRNPA1L2"
"FBgn0004903",1.54,8e-04,220988,"HNRNPA3"
"FBgn0004914",1.78,0,3174,"HNF4G"
"FBgn0004914",1.78,0,3172,"HNF4A"
"FBgn0004914",1.95,0,3174,"HNF4G"
"FBgn0004914",1.95,0,3172,"HNF4A"
"FBgn0005411",1.55,0.00654,11338,"U2AF2"
"FBgn0005411",2.05,0,11338,"U2AF2"
"FBgn0005427",1.58,0.00515,4899,"NRF1"
"FBgn0005596",2.11,0,254048,"UBN2"
"FBgn0005596",2.11,0,29855,"UBN1"
"FBgn0005612",1.98,0,6659,"SOX4"
"FBgn0005612",1.98,0,6666,"SOX12"
"FBgn0005612",1.98,0,6664,"SOX11"
"FBgn0005612",1.78,0,6659,"SOX4"
"FBgn0005612",1.78,0,6666,"SOX12"
"FBgn0005612",1.78,0,6664,"SOX11"
"FBgn0005617",1.98,0,339287,"MSL1"
"FBgn0005640",1.5,0.0011,5218,"CDK14"
"FBgn0005640",1.5,0.0011,65061,"CDK15"
"FBgn0005642",2.09,0,84924,"ZNF566"
"FBgn0005642",2.09,0,147948,"ZNF582"
"FBgn0005642",2.09,0,284323,"ZNF780A"
"FBgn0005642",2.09,0,7571,"ZNF23"
"FBgn0005642",1.9,0,84924,"ZNF566"
"FBgn0005642",1.9,0,147948,"ZNF582"
"FBgn0005642",1.9,0,284323,"ZNF780A"
"FBgn0005642",1.9,0,7571,"ZNF23"
"FBgn0005683",1.83,0,55632,"G2E3"
"FBgn0005683",1.83,0,51533,"PHF7"
"FBgn0005694",1.91,0,6615,"SNAI1"
"FBgn0005694",1.91,0,7580,"ZNF32"
"FBgn0005694",1.91,0,403341,"ZBTB34"
"FBgn0005694",1.91,0,59335,"PRDM12"
"FBgn0005695",1.83,0,64395,"GMCL1"
"FBgn0010014",2.14,0,5534,"PPP3R1"
"FBgn0010014",2.14,0,5535,"PPP3R2"
"FBgn0010014",2.14,0,116143,"WDR92"
"FBgn0010053",1.7,0,2052,"EPHX1"
"FBgn0010173",2.16,0,6117,"RPA1"
"FBgn0010215",2.17,0,1496,"CTNNA2"
"FBgn0010215",2.17,0,1495,"CTNNA1"
"FBgn0010215",2.17,0,29119,"CTNNA3"
"FBgn0010215",1.86,0,1496,"CTNNA2"
"FBgn0010215",1.86,0,1495,"CTNNA1"
"FBgn0010215",1.86,0,29119,"CTNNA3"
"FBgn0010217",2.14,0,506,"ATP5B"
"FBgn0010217",1.89,5e-04,506,"ATP5B"
"FBgn0010217",1.95,0,506,"ATP5B"
"FBgn0010222",2.01,0,10797,"MTHFD2"
"FBgn0010222",2.01,0,441024,"MTHFD2L"
"FBgn0010222",1.62,0.00047,10797,"MTHFD2"
"FBgn0010222",1.62,0.00047,441024,"MTHFD2L"
"FBgn0010225",2.32,0,2934,"GSN"
"FBgn0010225",2.32,0,10677,"AVIL"
"FBgn0010225",2.32,0,7429,"VIL1"
"FBgn0010225",2.32,0,85477,"SCIN"
"FBgn0010225",2.32,0,50853,"VILL"
"FBgn0010228",1.5,8e-04,3146,"HMGB1"
"FBgn0010228",1.5,8e-04,6749,"SSRP1"
"FBgn0010228",1.5,8e-04,3148,"HMGB2"
"FBgn0010228",1.5,8e-04,3149,"HMGB3"
"FBgn0010228",2.21,0,3146,"HMGB1"
"FBgn0010228",2.21,0,6749,"SSRP1"
"FBgn0010228",2.21,0,3148,"HMGB2"
"FBgn0010228",2.21,0,3149,"HMGB3"
"FBgn0010258",2.29,0,10949,"HNRNPA0"
"FBgn0010269",1.61,0.00435,5604,"MAP2K1"
"FBgn0010269",1.61,0.00435,5605,"MAP2K2"
"FBgn0010292",1.86,0.00067,705,"BYSL"
"FBgn0010300",1.57,0.00047,10612,"TRIM3"
"FBgn0010300",1.57,0.00047,23321,"TRIM2"
"FBgn0010300",1.78,0,10612,"TRIM3"
"FBgn0010300",1.78,0,23321,"TRIM2"
"FBgn0010316",1.63,0,1027,"CDKN1B"
"FBgn0010316",1.63,0,1028,"CDKN1C"
"FBgn0010317",1.73,0,54619,"CCNJ"
"FBgn0010317",1.73,0,79616,"CCNJL"
"FBgn0010341",1.89,0,998,"CDC42"
"FBgn0010356",1.78,0,6877,"TAF5"
"FBgn0010359",1.88,0,5644,"PRSS1"
"FBgn0010426",1.7,0,9296,"ATP6V1F"
"FBgn0010438",1.67,0.00018,6742,"SSBP1"
"FBgn0010470",1.7,0,55033,"FKBP14"
"FBgn0010470",1.7,0,51661,"FKBP7"
"FBgn0010470",1.63,0.00018,55033,"FKBP14"
"FBgn0010470",1.63,0.00018,51661,"FKBP7"
"FBgn0010470",1.55,0.00051,55033,"FKBP14"
"FBgn0010470",1.55,0.00051,51661,"FKBP7"
"FBgn0010501",1.55,0.00051,840,"CASP7"
"FBgn0010501",1.55,0.00051,836,"CASP3"
"FBgn0010501",1.55,0.00051,839,"CASP6"
"FBgn0010531",1.73,0,9973,"CCS"
"FBgn0010609",1.73,0,2181,"ACSL3"
