"FlyBaseID","Human.GeneID","Human.Symbol","logFC.Nup98.down","p.val.fdr.Nup98.down"
"FBgn0000318",84817,"TXNDC17",-0.393960822,0.036089643
"FBgn0000319",8218,"CLTCL1",-1.120012815,0.000932438
"FBgn0000319",1213,"CLTC",-1.120012815,0.000932438
"FBgn0000330",10947,"AP3M2",-1.006858037,0.00091042
"FBgn0000330",26985,"AP3M1",-1.006858037,0.00091042
"FBgn0000346",4905,"NSF",0.679025833,0.003611946
"FBgn0000370",468,"ATF4",-0.980722836,0.00203486
"FBgn0000370",22809,"ATF5",-0.980722836,0.00203486
"FBgn0000382",5777,"PTPN6",0.878252686,0.004611773
"FBgn0000382",5781,"PTPN11",0.878252686,0.004611773
"FBgn0000404",890,"CCNA2",-1.036673283,0.000870175
"FBgn0000404",8900,"CCNA1",-1.036673283,0.000870175
"FBgn0000405",891,"CCNB1",-1.213861624,0.01872515
"FBgn0000405",9133,"CCNB2",-1.213861624,0.01872515
"FBgn0000413",6938,"TCF12",-0.716230931,0.02498469
"FBgn0000413",6925,"TCF4",-0.716230931,0.02498469
"FBgn0000413",6929,"TCF3",-0.716230931,0.02498469
"FBgn0000416",768239,"PSAPL1",-2.144717801,0.001466505
"FBgn0000416",5660,"PSAP",-2.144717801,0.001466505
"FBgn0000427",3713,"IVL",0.804456015,0.028988905
"FBgn0000439",3233,"HOXD4",-0.939738462,0.003623793
"FBgn0000439",3214,"HOXB4",-0.939738462,0.003623793
"FBgn0000439",3201,"HOXA4",-0.939738462,0.003623793
"FBgn0000439",3221,"HOXC4",-0.939738462,0.003623793
"FBgn0000455",5184,"PEPD",-0.911113227,0.005875277
"FBgn0000482",57617,"VPS18",-0.99215857,0.006537756
"FBgn0000520",124961,"ZFP3",0.910650081,0.011962609
"FBgn0000520",4150,"MAZ",0.910650081,0.011962609
"FBgn0000520",255877,"BCL6B",0.910650081,0.011962609
"FBgn0000520",285349,"ZNF660",0.910650081,0.011962609
"FBgn0000520",115560,"ZNF501",0.910650081,0.011962609
"FBgn0000520",285346,"ZNF852",0.910650081,0.011962609
"FBgn0000520",166793,"ZBTB49",0.910650081,0.011962609
"FBgn0000520",7584,"ZNF35",0.910650081,0.011962609
"FBgn0000520",91392,"ZNF502",0.910650081,0.011962609
"FBgn0000533",2158,"F9",0.935349207,0.002454705
"FBgn0000533",440387,"CTRB2",0.935349207,0.002454705
"FBgn0000533",10747,"MASP2",0.935349207,0.002454705
"FBgn0000533",1990,"CELA1",0.935349207,0.002454705
"FBgn0000533",8858,"PROZ",0.935349207,0.002454705
"FBgn0000533",715,"C1R",0.935349207,0.002454705
"FBgn0000533",1506,"CTRL",0.935349207,0.002454705
"FBgn0000533",63036,"CELA2A",0.935349207,0.002454705
"FBgn0000533",51032,"CELA2B",0.935349207,0.002454705
"FBgn0000533",1504,"CTRB1",0.935349207,0.002454705
"FBgn0000533",55554,"KLK15",0.935349207,0.002454705
"FBgn0000533",10136,"CELA3A",0.935349207,0.002454705
"FBgn0000533",64699,"TMPRSS3",0.935349207,0.002454705
"FBgn0000533",5648,"MASP1",0.935349207,0.002454705
"FBgn0000533",716,"C1S",0.935349207,0.002454705
"FBgn0000533",2159,"F10",0.935349207,0.002454705
"FBgn0000533",23436,"CELA3B",0.935349207,0.002454705
"FBgn0000533",11330,"CTRC",0.935349207,0.002454705
"FBgn0000533",3249,"HPN",0.935349207,0.002454705
"FBgn0000533",2155,"F7",0.935349207,0.002454705
"FBgn0000533",283471,"TMPRSS12",0.935349207,0.002454705
"FBgn0000535",27133,"KCNH5",0.427275794,0.021726465
"FBgn0000535",3756,"KCNH1",0.427275794,0.021726465
"FBgn0000559",1938,"EEF2",-2.525607521,0.000463662
"FBgn0000565",4482,"MSRA",-1.462131066,0.001466505
"FBgn0000566",1491,"CTH",-1.653867703,0.000337135
"FBgn0000575",3397,"ID1",-0.752723157,0.008100958
"FBgn0000575",3400,"ID4",-0.752723157,0.008100958
"FBgn0000575",3399,"ID3",-0.752723157,0.008100958
"FBgn0000575",3398,"ID2",-0.752723157,0.008100958
"FBgn0000578",55740,"ENAH",0.957803891,0.00797945
"FBgn0000578",51466,"EVL",0.957803891,0.00797945
"FBgn0000578",7408,"VASP",0.957803891,0.00797945
"FBgn0000579",2027,"ENO3",-1.400147549,0.025234244
"FBgn0000579",2023,"ENO1",-1.400147549,0.025234244
"FBgn0000579",2026,"ENO2",-1.400147549,0.025234244
"FBgn0000588",8726,"EED",-0.894932539,0.001542882
"FBgn0000611",5089,"PBX2",-1.558337912,0.002823692
"FBgn0000611",80714,"PBX4",-1.558337912,0.002823692
"FBgn0000611",5087,"PBX1",-1.558337912,0.002823692
"FBgn0000611",5090,"PBX3",-1.558337912,0.002823692
"FBgn0000618",56943,"ENY2",0.526598959,0.021051489
"FBgn0000667",88,"ACTN2",0.589881522,0.032879316
"FBgn0000667",81,"ACTN4",0.589881522,0.032879316
"FBgn0000667",87,"ACTN1",0.589881522,0.032879316
"FBgn0000723",2242,"FES",-0.852401168,0.038686262
"FBgn0000723",2241,"FER",-0.852401168,0.038686262
"FBgn0000808",25891,"PAMR1",0.972361644,0.022635566
"FBgn0000808",56649,"TMPRSS4",0.972361644,0.022635566
"FBgn0000808",339501,"PRSS38",0.972361644,0.022635566
"FBgn0000808",2161,"F12",0.972361644,0.022635566
"FBgn0000808",164656,"TMPRSS6",0.972361644,0.022635566
"FBgn0000996",81620,"CDT1",-1.240758638,0.018026718
"FBgn0001079",27148,"STK36",-0.807926205,0.020933221
"FBgn0001087",8943,"AP3D1",0.748627351,0.003937172
"FBgn0001098",2747,"GLUD2",-2.315280448,0.000355666
"FBgn0001098",2746,"GLUD1",-2.315280448,0.000355666
"FBgn0001105",59345,"GNB4",-1.54750765,0.00058528
"FBgn0001105",2782,"GNB1",-1.54750765,0.00058528
"FBgn0001105",2783,"GNB2",-1.54750765,0.00058528
"FBgn0001108",1639,"DCTN1",-1.349343089,0.005712917
"FBgn0001114",8824,"CES2",-1.157334276,0.001314086
"FBgn0001114",283848,"CES4A",-1.157334276,0.001314086
"FBgn0001114",23491,"CES3",-1.157334276,0.001314086
"FBgn0001114",1066,"CES1",-1.157334276,0.001314086
"FBgn0001114",221223,"CES5A",-1.157334276,0.001314086
"FBgn0001123",2774,"GNAL",-1.135101178,0.004174891
"FBgn0001123",2778,"GNAS",-1.135101178,0.004174891
"FBgn0001137",145957,"NRG4",-2.070568807,0.011265311
"FBgn0001137",3084,"NRG1",-2.070568807,0.011265311
"FBgn0001168",57801,"HES4",-0.893561962,0.034346716
"FBgn0001168",3280,"HES1",-0.893561962,0.034346716
"FBgn0001186",3099,"HK2",1.125802533,0.002551949
"FBgn0001186",3098,"HK1",1.125802533,0.002551949
"FBgn0001186",2645,"GCK",1.125802533,0.002551949
"FBgn0001186",3101,"HK3",1.125802533,0.002551949
"FBgn0001186",80201,"HKDC1",1.125802533,0.002551949
"FBgn0001197",3015,"H2AFZ",-1.356069313,0.011802169
"FBgn0001197",94239,"H2AFV",-1.356069313,0.011802169
"FBgn0001215",144983,"HNRNPA1L2",-1.146512617,0.015883864
"FBgn0001215",10949,"HNRNPA0",-1.146512617,0.015883864
"FBgn0001215",3178,"HNRNPA1",-1.146512617,0.015883864
"FBgn0001215",220988,"HNRNPA3",-1.146512617,0.015883864
"FBgn0001215",3181,"HNRNPA2B1",-1.146512617,0.015883864
"FBgn0001216",3304,"HSPA1B",2.30306297,0.049269867
"FBgn0001216",3306,"HSPA2",2.30306297,0.049269867
"FBgn0001216",3303,"HSPA1A",2.30306297,0.049269867
"FBgn0001216",3310,"HSPA6",2.30306297,0.049269867
"FBgn0001216",3312,"HSPA8",2.30306297,0.049269867
"FBgn0001216",3305,"HSPA1L",2.30306297,0.049269867
"FBgn0001218",3309,"HSPA5",-0.764532586,0.002250662
"FBgn0001226",1410,"CRYAB",1.886055057,0.030544676
"FBgn0001227",1410,"CRYAB",-1.337848732,0.007669729
"FBgn0001233",3320,"HSP90AA1",-1.011425081,0.023912031
"FBgn0001233",3326,"HSP90AB1",-1.011425081,0.023912031
"FBgn0001296",117247,"SLC16A10",-0.798689276,0.010364759
"FBgn0001296",6567,"SLC16A2",-0.798689276,0.010364759
"FBgn0001324",9968,"MED12",-1.633880605,0.049840608
"FBgn0001324",116931,"MED12L",-1.633880605,0.049840608
"FBgn0001565",54606,"DDX56",-1.246344442,0.001466505
"FBgn0001941",8560,"DEGS1",-1.619741817,0.000898991
"FBgn0001941",123099,"DEGS2",-1.619741817,0.000898991
"FBgn0002069",1615,"DARS",-1.917522483,0.027758002
"FBgn0002284",5689,"PSMB1",-1.494199718,0.00287401
"FBgn0002354",116228,"COX20",0.431398963,0.026751068
"FBgn0002413",1453,"CSNK1D",-0.988056207,0.003783466
"FBgn0002413",1454,"CSNK1E",-0.988056207,0.003783466
"FBgn0002413",1452,"CSNK1A1",-0.988056207,0.003783466
"FBgn0002431",51366,"UBR5",-0.768018551,0.001912544
"FBgn0002522",3198,"HOXA1",0.948863268,0.006045004
"FBgn0002522",3211,"HOXB1",0.948863268,0.006045004
"FBgn0002522",3231,"HOXD1",0.948863268,0.006045004
"FBgn0002525",4000,"LMNA",-0.479739959,0.041348046
"FBgn0002525",84823,"LMNB2",-0.479739959,0.041348046
"FBgn0002525",4001,"LMNB1",-0.479739959,0.041348046
"FBgn0002526",3911,"LAMA5",-2.171983517,0.001265837
"FBgn0002526",3910,"LAMA4",-2.171983517,0.001265837
"FBgn0002526",3909,"LAMA3",-2.171983517,0.001265837
"FBgn0002590",6193,"RPS5",-1.591751974,0.014569825
"FBgn0002626",6161,"RPL32",-1.248049407,0.022787728
"FBgn0002631",54626,"HES2",1.487618286,0.029249607
"FBgn0002733",55502,"HES6",1.555038855,0.000355666
"FBgn0002733",54626,"HES2",1.555038855,0.000355666
"FBgn0002733",3280,"HES1",1.555038855,0.000355666
"FBgn0002775",10943,"MSL3",-1.127202991,0.013401848
"FBgn0002780",4691,"NCL",-1.248217768,0.000371573
"FBgn0002787",5713,"PSMD7",-1.470375159,0.000355666
"FBgn0002791",29882,"ANAPC2",0.592302193,0.006789513
"FBgn0002865",4956,"ODF1",0.685089957,0.019138212
"FBgn0002865",83902,"KRTAP17-1",0.685089957,0.019138212
"FBgn0002872",9656,"MDC1",-0.750391918,0.003462845
"FBgn0002872",22976,"PAXIP1",-0.750391918,0.003462845
"FBgn0002891",5980,"REV3L",0.438637068,0.04044993
"FBgn0002905",10721,"POLQ",-0.441898381,0.037074359
"FBgn0002914",4603,"MYBL1",-2.707839529,0.027482249
"FBgn0002914",4602,"MYB",-2.707839529,0.027482249
"FBgn0002914",4605,"MYBL2",-2.707839529,0.027482249
"FBgn0003008",10239,"AP3S2",0.62228618,0.038604698
"FBgn0003008",348110,"C15orf38",0.62228618,0.038604698
"FBgn0003008",1176,"AP3S1",0.62228618,0.038604698
"FBgn0003016",23164,"MPRIP",0.759932573,0.002485855
"FBgn0003048",399909,"PCNXL3",-0.57864683,0.029498858
"FBgn0003048",22990,"PCNX",-0.57864683,0.029498858
"FBgn0003048",80003,"PCNXL2",-0.57864683,0.029498858
"FBgn0003074",2821,"GPI",-1.009590827,0.004395837
"FBgn0003090",144165,"PRICKLE1",0.757504058,0.023414691
"FBgn0003090",4007,"PRICKLE3",0.757504058,0.023414691
"FBgn0003090",166336,"PRICKLE2",0.757504058,0.023414691
"FBgn0003116",58497,"PRUNE",-1.3681949,0.047891989
"FBgn0003124",5347,"PLK1",-1.522767477,0.002423188
"FBgn0003124",1263,"PLK3",-1.522767477,0.002423188
"FBgn0003124",10769,"PLK2",-1.522767477,0.002423188
"FBgn0003137",89932,"PAPLN",-0.878553489,0.012708388
"FBgn0003139",5537,"PPP6C",-0.651048117,0.034449639
"FBgn0003169",93,"ACVR2B",-1.064066982,0.001294198
"FBgn0003169",92,"ACVR2A",-1.064066982,0.001294198
"FBgn0003178",5315,"PKM",-2.746362966,0.000337135
"FBgn0003178",5313,"PKLR",-2.746362966,0.000337135
"FBgn0003204",3614,"IMPDH1",-0.540456425,0.023604684
"FBgn0003204",3615,"IMPDH2",-0.540456425,0.023604684
"FBgn0003206",22800,"RRAS2",-1.513104195,0.001895176
"FBgn0003206",6237,"RRAS",-1.513104195,0.001895176
"FBgn0003249",94233,"OPN4",0.465332398,0.044060985
"FBgn0003250",94233,"OPN4",1.05800784,0.003429555
"FBgn0003257",7372,"UMPS",-0.473333001,0.025495014
"FBgn0003392",1785,"DNM2",-0.575692026,0.0192011
"FBgn0003392",26052,"DNM3",-0.575692026,0.0192011
"FBgn0003392",1759,"DNM1",-0.575692026,0.0192011
"FBgn0003401",8468,"FKBP6",-0.858590413,0.003567134
"FBgn0003423",5625,"PRODH",-0.722112342,0.028986534
"FBgn0003449",6629,"SNRPB2",-1.108370515,0.002085222
"FBgn0003449",6626,"SNRPA",-1.108370515,0.002085222
"FBgn0003462",6647,"SOD1",-1.199601822,0.006746854
"FBgn0003507",2627,"GATA6",-1.257648608,0.000430759
"FBgn0003507",140628,"GATA5",-1.257648608,0.000430759
"FBgn0003507",2626,"GATA4",-1.257648608,0.000430759
"FBgn0003514",10398,"MYL9",-1.644722344,0.000337135
"FBgn0003514",10627,"MYL12A",-1.644722344,0.000337135
"FBgn0003514",103910,"MYL12B",-1.644722344,0.000337135
"FBgn0003559",1479,"CSTF3",-0.984182217,0.031871978
"FBgn0003687",387332,"TBPL2",-0.539475811,0.017056513
"FBgn0003687",6908,"TBP",-0.539475811,0.017056513
"FBgn0003714",6183,"MRPS12",-0.714599963,0.028735553
"FBgn0003721",7170,"TPM3",-1.260083706,0.000355666
"FBgn0003721",7169,"TPM2",-1.260083706,0.000355666
"FBgn0003721",7168,"TPM1",-1.260083706,0.000355666
"FBgn0003721",7171,"TPM4",-1.260083706,0.000355666
"FBgn0003741",22828,"SCAF8",-0.618274384,0.025742167
"FBgn0003741",65117,"RSRC2",-0.618274384,0.025742167
"FBgn0003744",23012,"STK38L",-0.579089109,0.015145863
"FBgn0003744",11329,"STK38",-0.579089109,0.015145863
"FBgn0003748",11181,"TREH",-1.041057079,0.014116553
"FBgn0003870",9880,"ZBTB39",-0.428707819,0.026453534
"FBgn0003870",9841,"ZBTB24",-0.428707819,0.026453534
"FBgn0003870",84614,"ZBTB37",-0.428707819,0.026453534
"FBgn0003870",7709,"ZBTB17",-0.428707819,0.026453534
"FBgn0003870",112939,"NACC1",-0.428707819,0.026453534
"FBgn0003870",84878,"ZBTB45",-0.428707819,0.026453534
"FBgn0003886",84790,"TUBA1C",2.978377759,0.000480934
"FBgn0003886",112714,"TUBA3E",2.978377759,0.000480934
"FBgn0003886",113457,"TUBA3D",2.978377759,0.000480934
"FBgn0003886",7278,"TUBA3C",2.978377759,0.000480934
"FBgn0003887",7280,"TUBB2A",-0.715394136,0.036561586
"FBgn0003887",203068,"TUBB",-0.715394136,0.036561586
"FBgn0003887",347733,"TUBB2B",-0.715394136,0.036561586
"FBgn0003887",10383,"TUBB4B",-0.715394136,0.036561586
"FBgn0003887",10382,"TUBB4A",-0.715394136,0.036561586
"FBgn0003888",203068,"TUBB",0.935832289,0.042831063
"FBgn0003888",10381,"TUBB3",0.935832289,0.042831063
"FBgn0003888",84617,"TUBB6",0.935832289,0.042831063
"FBgn0003892",5727,"PTCH1",0.519251788,0.03369652
"FBgn0003892",8643,"PTCH2",0.519251788,0.03369652
"FBgn0003969",5921,"RASA1",-0.909843943,0.017245504
"FBgn0003984",9499,"MYOT",0.607534492,0.017245504
"FBgn0003984",2321,"FLT1",0.607534492,0.017245504
"FBgn0004087",1719,"DHFR",0.396132556,0.031871978
"FBgn0004087",200895,"DHFRL1",0.396132556,0.031871978
"FBgn0004106",1017,"CDK2",-0.532771603,0.036723582
"FBgn0004106",983,"CDK1",-0.532771603,0.036723582
"FBgn0004110",137814,"NKX2-6",0.932418636,0.00428138
"FBgn0004110",644524,"NKX2-4",0.932418636,0.00428138
"FBgn0004132",23184,"MESDC2",0.583816779,0.035286982
"FBgn0004171",83902,"KRTAP17-1",0.8743812,0.021969809
"FBgn0004171",4956,"ODF1",0.8743812,0.021969809
"FBgn0004181",93487,"MAPK1IP1L",0.628878872,0.008303444
"FBgn0004363",7417,"VDAC2",-1.168481168,0.004354859
"FBgn0004363",7416,"VDAC1",-1.168481168,0.004354859
"FBgn0004363",7419,"VDAC3",-1.168481168,0.004354859
"FBgn0004366",5470,"PPEF2",0.58179027,0.044504139
"FBgn0004366",5475,"PPEF1",0.58179027,0.044504139
"FBgn0004378",3832,"KIF11",0.572299551,0.024523199
"FBgn0004387",55614,"KIF16B",-0.796369179,0.022292041
"FBgn0004404",6208,"RPS14",-0.868342239,0.016746962
"FBgn0004432",10450,"PPIE",-1.281126333,0.010260981
"FBgn0004432",10105,"PPIF",-1.281126333,0.010260981
"FBgn0004435",2776,"GNAQ",0.610325767,0.008203175
"FBgn0004435",9630,"GNA14",0.610325767,0.008203175
"FBgn0004435",2767,"GNA11",0.610325767,0.008203175
"FBgn0004449",26011,"TENM4",1.003137469,0.001041827
"FBgn0004449",10178,"TENM1",1.003137469,0.001041827
"FBgn0004449",55714,"TENM3",1.003137469,0.001041827
"FBgn0004449",57451,"TENM2",1.003137469,0.001041827
"FBgn0004509",54760,"PCSK4",0.861357473,0.004207018
"FBgn0004509",5122,"PCSK1",0.861357473,0.004207018
"FBgn0004509",5046,"PCSK6",0.861357473,0.004207018
"FBgn0004509",5045,"FURIN",0.861357473,0.004207018
"FBgn0004574",6813,"STXBP2",-1.39025264,0.001122366
"FBgn0004574",6812,"STXBP1",-1.39025264,0.001122366
"FBgn0004584",328,"APEX1",-1.254232651,0.041819024
"FBgn0004623",2784,"GNB3",0.584383683,0.01111327
"FBgn0004623",2782,"GNB1",0.584383683,0.01111327
"FBgn0004624",818,"CAMK2G",0.919124909,0.026896542
"FBgn0004624",815,"CAMK2A",0.919124909,0.026896542
"FBgn0004624",816,"CAMK2B",0.919124909,0.026896542
"FBgn0004624",817,"CAMK2D",0.919124909,0.026896542
"FBgn0004635",162494,"RHBDL3",1.609604438,0.018797036
"FBgn0004635",54933,"RHBDL2",1.609604438,0.018797036
"FBgn0004635",9028,"RHBDL1",1.609604438,0.018797036
"FBgn0004654",5226,"PGD",-1.217652942,0.021326839
"FBgn0004656",6046,"BRD2",0.735082656,0.018958117
"FBgn0004656",8019,"BRD3",0.735082656,0.018958117
"FBgn0004656",23476,"BRD4",0.735082656,0.018958117
"FBgn0004656",676,"BRDT",0.735082656,0.018958117
"FBgn0004828",3021,"H3F3B",-1.427369604,0.003528095
"FBgn0004828",3020,"H3F3A",-1.427369604,0.003528095
"FBgn0004832",7507,"XPA",0.633994831,0.011319046
"FBgn0004858",80139,"ZNF703",1.049674843,0.001686957
"FBgn0004858",84858,"ZNF503",1.049674843,0.001686957
"FBgn0004861",80012,"PHC3",-1.740891897,0.001470719
"FBgn0004861",1911,"PHC1",-1.740891897,0.001470719
"FBgn0004861",1912,"PHC2",-1.740891897,0.001470719
"FBgn0004867",6187,"RPS2",-1.751549167,0.001736966
"FBgn0004888",8802,"SUCLG1",-2.355859798,0.014662563
"FBgn0004907",7531,"YWHAE",-1.547845111,0.014233393
"FBgn0004907",7529,"YWHAB",-1.547845111,0.014233393
"FBgn0004907",2810,"SFN",-1.547845111,0.014233393
"FBgn0004907",7534,"YWHAZ",-1.547845111,0.014233393
"FBgn0004913",5981,"RFC1",-1.228796587,0.010188283
"FBgn0004921",94235,"GNG8",-1.899023264,0.00060472
"FBgn0004921",2788,"GNG7",-1.899023264,0.00060472
"FBgn0004921",2786,"GNG4",-1.899023264,0.00060472
"FBgn0004921",55970,"GNG12",-1.899023264,0.00060472
"FBgn0004921",2785,"GNG3",-1.899023264,0.00060472
"FBgn0004921",2787,"GNG5",-1.899023264,0.00060472
"FBgn0004921",54331,"GNG2",-1.899023264,0.00060472
"FBgn0005322",84896,"ATAD1",-1.101919515,0.007572896
"FBgn0005427",4899,"NRF1",0.585493495,0.007884428
"FBgn0005533",100505503,"RPS17L",0.683452741,0.005450804
"FBgn0005533",6218,"RPS17",0.683452741,0.005450804
"FBgn0005536",4660,"PPP1R12B",-0.965261846,0.019437069
"FBgn0005536",4659,"PPP1R12A",-0.965261846,0.019437069
"FBgn0005536",54776,"PPP1R12C",-0.965261846,0.019437069
"FBgn0005585",125972,"CALR3",-2.046371077,0.007210471
"FBgn0005585",811,"CALR",-2.046371077,0.007210471
"FBgn0005634",79784,"MYH14",-1.16981711,0.007757534
"FBgn0005634",4628,"MYH10",-1.16981711,0.007757534
"FBgn0005634",4627,"MYH9",-1.16981711,0.007757534
"FBgn0005634",4629,"MYH11",-1.16981711,0.007757534
"FBgn0005640",5218,"CDK14",-1.135514034,0.004103829
"FBgn0005640",65061,"CDK15",-1.135514034,0.004103829
"FBgn0005649",7072,"TIA1",-0.824945148,0.038984252
"FBgn0005649",7073,"TIAL1",-0.824945148,0.038984252
"FBgn0005671",525,"ATP6V1B1",-1.546480998,0.000371573
"FBgn0005671",526,"ATP6V1B2",-1.546480998,0.000371573
"FBgn0005672",8717,"TRADD",-1.409197147,0.000355666
"FBgn0005696",23649,"POLA2",-0.633777586,0.013845815
"FBgn0008635",1315,"COPB1",-0.519180839,0.016918639
"FBgn0010014",5534,"PPP3R1",1.119373593,0.017966734
"FBgn0010014",116143,"WDR92",1.119373593,0.017966734
"FBgn0010014",5535,"PPP3R2",1.119373593,0.017966734
"FBgn0010053",2052,"EPHX1",-1.174491139,0.0314296
"FBgn0010078",9349,"RPL23",0.512861145,0.032879316
"FBgn0010100",50,"ACO2",-0.815127459,0.01403319
"FBgn0010213",6648,"SOD2",-1.438461728,0.000430759
"FBgn0010217",506,"ATP5B",-1.727810841,0.005224958
"FBgn0010228",3148,"HMGB2",-1.638566198,0.025543431
"FBgn0010228",3149,"HMGB3",-1.638566198,0.025543431
"FBgn0010228",3146,"HMGB1",-1.638566198,0.025543431
"FBgn0010228",6749,"SSRP1",-1.638566198,0.025543431
"FBgn0010235",3831,"KLC1",-0.941724967,0.004733247
"FBgn0010235",64837,"KLC2",-0.941724967,0.004733247
"FBgn0010235",147700,"KLC3",-0.941724967,0.004733247
"FBgn0010235",89953,"KLC4",-0.941724967,0.004733247
"FBgn0010235",84334,"APOPT1",-0.941724967,0.004733247
"FBgn0010240",2562,"GABRB3",1.392311779,0.028455956
"FBgn0010240",55879,"GABRQ",1.392311779,0.028455956
"FBgn0010240",2560,"GABRB1",1.392311779,0.028455956
"FBgn0010240",2561,"GABRB2",1.392311779,0.028455956
"FBgn0010269",5604,"MAP2K1",-1.875905106,0.021503927
"FBgn0010269",5605,"MAP2K2",-1.875905106,0.021503927
"FBgn0010292",705,"BYSL",-1.539053528,0.017345196
"FBgn0010300",23321,"TRIM2",0.522374549,0.039657914
"FBgn0010300",10612,"TRIM3",0.522374549,0.039657914
"FBgn0010314",1163,"CKS1B",-1.061252419,0.003535876
"FBgn0010314",1164,"CKS2",-1.061252419,0.003535876
"FBgn0010315",896,"CCND3",-1.153147168,0.022347327
"FBgn0010315",894,"CCND2",-1.153147168,0.022347327
"FBgn0010315",595,"CCND1",-1.153147168,0.022347327
"FBgn0010328",7750,"ZMYM2",-0.833373647,0.001972261
"FBgn0010328",54870,"QRICH1",-0.833373647,0.001972261
"FBgn0010328",9203,"ZMYM3",-0.833373647,0.001972261
"FBgn0010328",9202,"ZMYM4",-0.833373647,0.001972261
"FBgn0010328",9205,"ZMYM5",-0.833373647,0.001972261
"FBgn0010340",51300,"TIMMDC1",0.484117828,0.014717671
"FBgn0010348",375,"ARF1",-1.621983725,0.000562878
"FBgn0010348",377,"ARF3",-1.621983725,0.000562878
"FBgn0010355",138474,"TAF1L",-1.00583323,0.023912031
"FBgn0010355",6872,"TAF1",-1.00583323,0.023912031
"FBgn0010409",6142,"RPL18A",-1.47575657,0.005881256
"FBgn0010417",6878,"TAF6",0.611304712,0.008203175
"FBgn0010488",1982,"EIF4G2",-2.135607443,0.000280638
"FBgn0010551",11331,"PHB2",-1.367419702,0.000891975
"FBgn0010590",5698,"PSMB9",-0.743037297,0.029100785
"FBgn0010590",5694,"PSMB6",-0.743037297,0.029100785
"FBgn0010602",7329,"UBE2I",1.289172525,0.003141717
"FBgn0010611",3157,"HMGCS1",-1.373383607,0.01439984
"FBgn0010611",3158,"HMGCS2",-1.373383607,0.01439984
"FBgn0010651",246213,"SLC17A8",-1.742744213,0.017845592
"FBgn0010651",57030,"SLC17A7",-1.742744213,0.017845592
"FBgn0010651",57084,"SLC17A6",-1.742744213,0.017845592
"FBgn0010774",10189,"ALYREF",-1.187393059,0.000968007
"FBgn0010825",473,"RERE",1.113164618,0.023541311
"FBgn0010825",1822,"ATN1",1.113164618,0.023541311
"FBgn0010926",8602,"NOP14",-0.761078473,0.005277182
"FBgn0011202",81624,"DIAPH3",-1.38946337,0.001310678
"FBgn0011202",1729,"DIAPH1",-1.38946337,0.001310678
