logFC	ID	adj.P.Val	P.Value	t	B	Gene.symbol
-2.55826074	ILMN_3043036	0.008218	3.73E-05	8.6815406	2.88476	Chi3l3
-2.50799556	ILMN_3161036	0.004666	1.06E-05	10.4142391	4.08652	Tpsb2
-2.50377778	ILMN_1246194	0.010709	5.77E-05	8.1443019	2.45815	
-2.50295536	ILMN_2717366	0.001468	1.07E-06	14.362212	6.0856	Oasl1
-2.46908886	ILMN_2420341	0.122956	3.96E-03	4.1095727	-1.87263	
-2.41864508	ILMN_3054914	0.074209	1.68E-03	4.7882098	-0.98131	Usp18
-2.4110861	ILMN_1227573	0.017413	1.52E-04	7.0455436	1.49099	Irf7
-2.40603993	ILMN_1246690	0.004666	1.00E-05	10.495879	4.13733	Cpa3
-2.39175247	ILMN_1254685	0.031301	3.88E-04	6.0919316	0.53382	Gm4951
-2.38660781	ILMN_1254577	0.046191	7.53E-04	5.4777982	-0.14838	AI607873
-2.37601357	ILMN_2602352	0.014182	9.93E-05	7.5126987	1.9187	Ms4a6d
-2.36867236	ILMN_1225204	0.032939	4.38E-04	5.9779169	0.41124	Rsad2
-2.35847709	ILMN_2771176	0.009407	4.74E-05	8.3846538	2.65251	Ccl7
-2.3528316	ILMN_3091003	0.004786	1.18E-05	10.2465353	3.98063	Ms4a7
-2.34091878	ILMN_2526938	0.047187	7.73E-04	5.4536186	-0.17636	Pydc4
-2.28341166	ILMN_2954868	0.009935	5.13E-05	8.2858163	2.57329	Oasl2
-2.26665382	ILMN_2631161	0.058442	1.11E-03	5.1333326	-0.55535	Fcgr4
-2.22435724	ILMN_2715042	0.015306	1.12E-04	7.3779218	1.79791	Sdc3
-2.20872423	ILMN_2437969	0.03114	3.84E-04	6.1037902	0.54646	Ifi205
-2.2083739	ILMN_1212938	0.008093	3.52E-05	8.7566088	2.94216	Aif1
-2.20326745	ILMN_2959372	0.001486	1.28E-06	14.0100205	5.93957	Clec4b1
-2.19544762	ILMN_1230458	0.007749	3.27E-05	8.8521041	3.01443	Ifit3
-2.18039982	ILMN_2692723	0.11335	3.40E-03	4.2256381	-1.71519	Lpl
-2.16248572	ILMN_1230708	0.016571	1.39E-04	7.1406209	1.58012	Clec4a1
-2.15450682	ILMN_1237186	0.031335	3.91E-04	6.0864435	0.52796	Spint1
-2.10186112	ILMN_1220301	0.004299	7.58E-06	10.917698	4.39241	Cebpe
-2.10026298	ILMN_1219915	0.004666	1.05E-05	10.4228298	4.09189	Dgat2
-2.09218752	ILMN_2593774	0.00107	6.38E-07	15.4265388	6.49627	1190002H23Rik
-2.07721954	ILMN_2663930	0.05257	9.41E-04	5.280251	-0.37958	Slfn1
-2.07375809	ILMN_1259174	0.021413	2.10E-04	6.7057709	1.16342	Scin
-2.05878515	ILMN_3029849	0.001481	1.21E-06	14.1235779	5.98723	Cebpe
-2.05035973	ILMN_2835117	0.005961	1.93E-05	9.5543709	3.52101	Ccl7
-2.04066472	ILMN_2904108	0.004935	1.31E-05	10.1023039	3.8879	Mrgpra2b
-2.02504377	ILMN_1236702	0.004134	6.82E-06	11.0819406	4.48847	Lilrb4
-2.01595887	ILMN_1220609	0.02039	1.95E-04	6.7818639	1.23803	Ltb4r1
-2.01069426	ILMN_1218181	0.016902	1.43E-04	7.110726	1.55222	Ifitm6
-2.0014571	ILMN_2872058	0.011861	6.91E-05	7.9294686	2.27944	Ctsh
-2.00139332	ILMN_2861051	0.032394	4.25E-04	6.0048022	0.44031	Mrgpra7
-1.9980201	ILMN_1229197	0.01402	9.61E-05	7.549073	1.95094	Gm14446
-1.9967245	ILMN_2712075	0.000424	7.26E-08	20.7821039	8.02593	Lcn2
-1.98193111	ILMN_2920849	0.024428	2.57E-04	6.4981444	0.95605	Pira4
-1.98034295	ILMN_2771766	0.021413	2.10E-04	6.7051267	1.16278	Ccl12
-1.97039026	ILMN_2476405	0.2745	1.48E-02	3.1553536	-3.23666	
-1.96904168	ILMN_2624630	0.026623	2.98E-04	6.3506549	0.80531	Fcnb
-1.96626707	ILMN_2528453	0.004666	1.06E-05	10.4124304	4.08539	Cebpe
-1.96316049	ILMN_2670150	0.05823	1.10E-03	5.1432729	-0.54336	Oas2
-1.96276784	ILMN_2696491	0.004816	1.25E-05	10.1642323	3.92791	Phf11
-1.95398051	ILMN_2981167	0.01499	1.09E-04	7.4123774	1.82898	Ifit2
-1.95359187	ILMN_1258735	0.000508	1.76E-07	18.4073482	7.44131	Itgb2l
-1.95156	ILMN_1248139	0.121248	3.84E-03	4.1324722	-1.84141	Gp49a
-1.94674719	ILMN_2981169	0.003489	4.70E-06	11.6805404	4.82393	Ifit2
-1.94323885	ILMN_2987709	0.042048	6.51E-04	5.609025	0.00199	Slc15a3
-1.94283388	ILMN_2939681	0.018548	1.70E-04	6.9283054	1.37958	Lyz2
-1.94029195	ILMN_2707870	0.001481	1.20E-06	14.1283778	5.98924	Mx1
-1.92606487	ILMN_2663083	0.016497	1.37E-04	7.1540752	1.59265	Fcnb
-1.90508152	ILMN_2684848	0.056475	1.05E-03	5.1838768	-0.49451	D14Ertd668e
-1.88807631	ILMN_3154691	0.099209	2.73E-03	4.3956619	-1.48824	Sirpb1a
-1.88599678	ILMN_2827780	0.004666	1.03E-05	10.4574231	4.11345	D14Ertd668e
-1.87226323	ILMN_2771182	0.011507	6.51E-05	8.0011661	2.33962	H2-Q8
-1.87131746	ILMN_1231204	0.010712	5.80E-05	8.1390246	2.45382	Amica1
-1.86948512	ILMN_1216880	0.004816	1.27E-05	10.1498443	3.91864	Emr1
-1.8636789	ILMN_2696492	0.015878	1.24E-04	7.2644356	1.69458	Phf11
-1.85790575	ILMN_2599154	0.015688	1.18E-04	7.3156171	1.74136	Oasl2
-1.83851646	ILMN_3138732	0.040404	6.03E-04	5.6786123	0.0807	Nrap
-1.83813429	ILMN_1239219	0.040015	5.95E-04	5.6915737	0.09528	Mx2
-1.82018526	ILMN_3045984	0.020459	1.96E-04	6.7759592	1.23227	Clec5a
-1.81553535	ILMN_2847787	0.003669	5.02E-06	11.5717935	4.76464	Emr1
-1.80741834	ILMN_2775154	0.028828	3.41E-04	6.2196786	0.66901	Ctsh
-1.79485806	ILMN_2747923	0.023184	2.36E-04	6.5835247	1.042	Slc40a1
-1.79235816	ILMN_2712151	0.00619	2.05E-05	9.4706069	3.4628	1810033B17Rik
-1.7850771	ILMN_3161652	0.065915	1.39E-03	4.9449041	-0.78563	Clec4a3
-1.78204684	ILMN_1247377	0.018025	1.61E-04	6.984985	1.43365	Mpeg1
-1.77860557	ILMN_3103062	0.004816	1.26E-05	10.1525123	3.92036	Cebpe
-1.7762937	ILMN_2597868	0.106844	3.08E-03	4.3032171	-1.61109	Lgmn
-1.77502524	ILMN_3121522	0.012728	7.95E-05	7.7671228	2.14117	Clec5a
-1.76580559	ILMN_2772632	0.093392	2.45E-03	4.4825313	-1.374	Saa3
-1.76454361	ILMN_1222860	0.027155	3.10E-04	6.3114991	0.76481	Gm5150
-1.76383859	ILMN_2628822	0.020223	1.91E-04	6.8025161	1.25815	Oas1g
-1.76063909	ILMN_1233449	0.00519	1.44E-05	9.9598943	3.7948	
-1.75361081	ILMN_2534207	0.001481	1.24E-06	14.0673261	5.96369	
-1.75221688	ILMN_1225085	0.004571	8.97E-06	10.659807	4.23792	Prkcb
-1.75178218	ILMN_2663130	0.048024	8.12E-04	5.4107892	-0.22614	P2ry6
-1.74491577	ILMN_1242647	0.00456	8.66E-06	10.7135164	4.27047	Stfa2l1
-1.74296017	ILMN_1239055	0.036311	5.17E-04	5.8217365	0.24036	Xdh
-1.74255206	ILMN_1223311	0.035852	5.06E-04	5.8406565	0.26125	Ifi44
-1.74118637	ILMN_1254927	0.025709	2.81E-04	6.4104357	0.86676	Ly6c1
-1.74052512	ILMN_2608719	0.015815	1.23E-04	7.2778413	1.70686	Clec5a
-1.73661544	ILMN_2479717	0.02032	1.94E-04	6.7889618	1.24495	Pilra
-1.73008521	ILMN_1219896	0.035428	4.94E-04	5.8628491	0.28568	Pydc4
-1.72571248	ILMN_2651743	0.057957	1.09E-03	5.1503391	-0.53484	1100001G20Rik
-1.72409681	ILMN_1239878	0.217983	1.01E-02	3.4194046	-2.84815	Prss34
-1.71978004	ILMN_1256025	0.015787	1.21E-04	7.2896222	1.71764	
-1.71472499	ILMN_2983516	0.014182	9.92E-05	7.5133923	1.91931	Slc11a1
-1.70900449	ILMN_1252076	0.035675	4.99E-04	5.8548591	0.27689	Lyz2
-1.70708569	ILMN_2473066	0.025709	2.83E-04	6.403202	0.85935	
-1.70200073	ILMN_1253808	0.016974	1.44E-04	7.1002441	1.5424	Oas1g
-1.68994603	ILMN_3161805	0.012149	7.30E-05	7.8659472	2.22567	Ccl12
-1.68649875	ILMN_2640346	0.041859	6.42E-04	5.6210635	0.01566	P2ry13
-1.68528159	ILMN_1236517	0.007393	2.96E-05	8.9821588	3.1115	Il18
-1.67892934	ILMN_1219074	0.11382	3.43E-03	4.218758	-1.72447	Slfn2
-1.67698491	ILMN_2766780	0.004786	1.17E-05	10.2626691	3.99091	Lyz2
-1.67364185	ILMN_2820703	0.032354	4.18E-04	6.021768	0.4586	Scarf1
-1.67151652	ILMN_2722380	0.011933	7.04E-05	7.9084268	2.26168	Oasl1
-1.66995854	ILMN_2771380	0.018683	1.72E-04	6.915509	1.36732	Cd52
-1.66192798	ILMN_1221700	0.038301	5.60E-04	5.7470928	0.15746	Elane
-1.65556328	ILMN_1236609	0.007393	2.89E-05	9.0100384	3.13211	Gp49a
-1.65234169	ILMN_1238886	0.006731	2.39E-05	9.2615843	3.31498	Ccl8
-1.63704044	ILMN_1240726	0.031562	3.98E-04	6.0676422	0.50786	Mmp14
-1.63360191	ILMN_3152792	0.075878	1.74E-03	4.7603127	-1.01655	Pira11
-1.6334029	ILMN_1229523	0.024352	2.55E-04	6.5050521	0.96304	Fcgr1
-1.6331191	ILMN_2534151	0.000508	1.79E-07	18.3646772	7.42959	Gm12250
-1.63212175	ILMN_1243451	0.01402	9.57E-05	7.5539279	1.95523	Hvcn1
-1.62565933	ILMN_2735961	0.086276	2.17E-03	4.5787603	-1.24882	Tlr13
-1.62129491	ILMN_3091641	0.087302	2.22E-03	4.5616477	-1.27098	Dab2
-1.61706459	ILMN_2715867	0.006594	2.25E-05	9.3426126	3.37272	Prg3
-1.60523563	ILMN_2743244	0.120796	3.78E-03	4.1452459	-1.82402	Cd86
-1.60240447	ILMN_2863390	0.004134	6.88E-06	11.0697843	4.48142	Fcer1a
-1.59633009	ILMN_2761585	0.009327	4.63E-05	8.4114549	2.67383	
-1.59038211	ILMN_2804487	0.00443	8.02E-06	10.8304283	4.34064	Aif1
-1.58440123	ILMN_1228913	0.000588	2.47E-07	17.5803034	7.20564	Parp12
-1.56436017	ILMN_1231982	0.00566	1.71E-05	9.7195055	3.63408	Cd200r3
-1.55468682	ILMN_2645793	0.003855	5.94E-06	11.3013161	4.61402	Aldh3b1
-1.55378214	ILMN_2648669	0.023184	2.37E-04	6.5822836	1.04075	Gpnmb
-1.54836243	ILMN_1259100	0.016113	1.28E-04	7.2294059	1.66238	Pilrb1
-1.54731662	ILMN_1243329	0.032394	4.26E-04	6.0035178	0.43893	Dab2
-1.53938224	ILMN_1250136	0.061369	1.23E-03	5.0460853	-0.6613	
-1.53093931	ILMN_2918977	0.013407	8.70E-05	7.662063	2.05017	Mar-01
-1.52843263	ILMN_2789900	0.006873	2.54E-05	9.1842006	3.25932	Cd177
-1.52827409	ILMN_2772710	0.047715	7.98E-04	5.426132	-0.20828	Ms4a6c
-1.52510295	ILMN_2693019	0.013285	8.42E-05	7.7001928	2.08333	Acpp
-1.51254255	ILMN_2501605	0.001105	7.08E-07	15.2068405	6.41508	Prkcb
-1.51117641	ILMN_1249578	0.007393	2.96E-05	8.979726	3.1097	Sorl1
-1.50427598	ILMN_2776850	0.045319	7.33E-04	5.5019309	-0.12053	Gas7
-1.50059087	ILMN_3073899	0.004786	1.21E-05	10.2212615	3.96449	Pira11
-1.49792303	ILMN_1240864	0.037622	5.44E-04	5.7735144	0.1869	Cmpk2
-1.48943388	ILMN_1229256	0.010649	5.62E-05	8.1760033	2.48412	Bzrap1
-1.4815552	ILMN_1228233	0.063568	1.31E-03	4.9968814	-0.72157	Gstm1
-1.48127443	ILMN_2680770	0.201784	8.93E-03	3.5096028	-2.71714	Cysltr1
-1.46637968	ILMN_1256122	0.038412	5.63E-04	5.7423812	0.1522	Hdc
-1.46600025	ILMN_2737685	0.237138	1.16E-02	3.3254472	-2.98559	Mmp13
-1.46547078	ILMN_1229630	0.00373	5.44E-06	11.4435662	4.6938	Trim30a
-1.46516496	ILMN_1217041	0.136907	4.69E-03	3.9805278	-2.05002	Cd86
-1.4557448	ILMN_2619620	0.099341	2.76E-03	4.387703	-1.49877	C1qb
-1.45224185	ILMN_2688912	0.086276	2.18E-03	4.5754961	-1.25304	F10
-1.44794544	ILMN_1256142	0.047187	7.74E-04	5.4526866	-0.17744	Marcks
-1.44187945	ILMN_2669912	0.042399	6.59E-04	5.5974272	-0.0112	Nrp1
-1.43959631	ILMN_2654554	0.012728	7.88E-05	7.7762855	2.14905	Fgl2
-1.43952363	ILMN_2735615	0.026889	3.04E-04	6.3310694	0.78508	Isg20
-1.43820251	ILMN_2468473	0.033848	4.61E-04	5.9283536	0.35739	Gas7
-1.43645218	ILMN_1216020	0.147775	5.33E-03	3.8857893	-2.18179	Oas3
-1.43118477	ILMN_2458765	0.130345	4.33E-03	4.0406915	-1.96701	Ahnak
-1.42360237	ILMN_2693895	0.009595	4.85E-05	8.3548682	2.62874	Acta2
-1.42218076	ILMN_2595714	0.032303	4.17E-04	6.0249008	0.46198	Fn1
-1.4200926	ILMN_2593554	0.031091	3.79E-04	6.1145281	0.5579	Igtp
-1.41980592	ILMN_2615804	0.114352	3.45E-03	4.2140336	-1.73084	Gpr141
-1.41967609	ILMN_2789650	0.029748	3.58E-04	6.171778	0.61858	Csrp3
-1.41844094	ILMN_2910934	0.003709	5.20E-06	11.5159855	4.73393	Cd52
-1.41712184	ILMN_2613832	0.064111	1.33E-03	4.9842823	-0.73706	Mgst2
-1.41635493	ILMN_2554110	0.186321	7.86E-03	3.60127	-2.58499	Entpd4
-1.41193771	ILMN_3124528	0.047379	7.88E-04	5.4371449	-0.19548	Hvcn1
-1.4115835	ILMN_2915689	0.060853	1.21E-03	5.0610394	-0.64306	Dhx58
-1.40583298	ILMN_2908435	0.010163	5.27E-05	8.2530754	2.54683	Ppbp
-1.40378323	ILMN_1260590	0.004481	8.31E-06	10.7759824	4.30808	
-1.39904732	ILMN_2844996	0.060882	1.22E-03	5.0594222	-0.64503	Actn1
-1.39744847	ILMN_1228102	0.062874	1.28E-03	5.0171606	-0.69668	Ppbp
-1.38795058	ILMN_2646834	0.055579	1.02E-03	5.2111929	-0.46179	Dhx58
-1.38528822	ILMN_2769490	0.173848	7.01E-03	3.6841574	-2.46642	5430435G22Rik
-1.38120471	ILMN_3142803	0.333397	2.05E-02	2.9315678	-3.57059	Cxcl10
-1.37956818	ILMN_2705628	0.002308	2.68E-06	12.6358712	5.31541	Clec4d
-1.37701299	ILMN_2992709	0.019661	1.84E-04	6.8430028	1.29745	Trem2
-1.37622433	ILMN_1229458	0.011439	6.42E-05	8.0175058	2.35326	Prkcb
-1.37188117	ILMN_3122961	0.125116	4.08E-03	4.0859539	-1.90491	Gbp2
-1.36824981	ILMN_2693679	0.027214	3.13E-04	6.3020236	0.75498	Ccdc125
-1.36725495	ILMN_2883326	0.050228	8.64E-04	5.3549049	-0.29152	Lilra6
-1.36074638	ILMN_3151243	0.016113	1.30E-04	7.2118733	1.64621	BC094916
-1.35834002	ILMN_1219468	0.015787	1.21E-04	7.2961707	1.72362	Znfx1
-1.35585093	ILMN_1222039	0.037238	5.35E-04	5.7890312	0.20414	Dhx58
-1.35257779	ILMN_1253273	0.039622	5.85E-04	5.7061278	0.11162	Clec5a
-1.34950248	ILMN_3010089	0.003709	5.30E-06	11.4852292	4.71693	Ifi204
-1.34555594	ILMN_1237197	0.036411	5.19E-04	5.816778	0.23488	Nrp1
-1.34157511	ILMN_2965903	0.033277	4.50E-04	5.9505788	0.38158	Hdc
-1.33978837	ILMN_2627920	0.027319	3.16E-04	6.2925559	0.74514	Lpcat2
-1.33972213	ILMN_2717127	0.005363	1.51E-05	9.8964789	3.75285	Ddx58
-1.33060576	ILMN_2695412	0.135464	4.62E-03	3.9923713	-2.03364	Trim30d
-1.32987043	ILMN_2642913	0.25627	1.32E-02	3.234924	-3.11887	Emp1
-1.32965978	ILMN_1245354	0.079035	1.89E-03	4.6914021	-1.10411	Tlr7
-1.32837318	ILMN_2962737	0.01802	1.60E-04	6.9901717	1.43858	Aoah
-1.32798298	ILMN_2925094	0.048013	8.10E-04	5.412411	-0.22425	Mpo
-1.32769816	ILMN_2951592	0.01499	1.09E-04	7.4127223	1.82929	H2-Q8
-1.3250457	ILMN_1218547	0.004666	1.07E-05	10.3936956	4.07366	Zbp1
-1.32275931	ILMN_2685393	0.246821	1.24E-02	3.2786932	-3.05432	Ccr5
-1.32181334	ILMN_1223317	0.06442	1.34E-03	4.977527	-0.74537	Lgals3
-1.3209583	ILMN_1224855	0.110358	3.27E-03	4.2563498	-1.67387	Samd9l
-1.31747426	ILMN_2889020	0.024789	2.65E-04	6.4691237	0.92662	Ltf
-1.31595612	ILMN_1234539	0.004134	6.91E-06	11.0630718	4.47752	Irgm1
-1.31576237	ILMN_1219474	0.018679	1.71E-04	6.9183092	1.37	6430548M08Rik
-1.30543222	ILMN_1251669	0.031994	4.09E-04	6.0423213	0.48071	Evi2a
-1.29238729	ILMN_2614655	0.105011	2.99E-03	4.3245265	-1.58266	Gpnmb
-1.29234322	ILMN_2674367	0.059945	1.18E-03	5.0867959	-0.61172	Agrn
-1.28881361	ILMN_1237712	0.156245	5.79E-03	3.8240178	-2.2684	Irg1
-1.28466325	ILMN_2915303	0.000734	3.71E-07	16.6248082	6.90923	Trem3
-1.28177178	ILMN_2953513	0.015669	1.17E-04	7.3298912	1.75436	Aldh3b1
-1.27990633	ILMN_1246861	0.003855	5.80E-06	11.3393194	4.63546	Ctss
-1.27926881	ILMN_2652500	0.086276	2.18E-03	4.5774664	-1.25049	Lrg1
-1.27785012	ILMN_2552783	0.058695	1.12E-03	5.1264605	-0.56366	
-1.27767178	ILMN_2687586	0.151531	5.55E-03	3.8555949	-2.22406	Cxcl16
-1.27136809	ILMN_2495446	0.0228	2.31E-04	6.6066177	1.06508	H2-Q6
-1.27070313	ILMN_2687403	0.013239	8.34E-05	7.7110173	2.09272	Fcgr3
-1.26895979	ILMN_2484932	0.004619	9.59E-06	10.5594913	4.17659	Ppm1h
-1.26861248	ILMN_2685392	0.126318	4.13E-03	4.0761243	-1.91837	Ccr5
-1.26311089	ILMN_2731331	0.015787	1.21E-04	7.289501	1.71753	Pkd2l1
-1.262685	ILMN_1246024	0.072194	1.63E-03	4.8147177	-0.94794	Rnpep
-1.26006741	ILMN_2513781	0.002697	3.33E-06	12.2576209	5.12692	A130038J17Rik
-1.25743883	ILMN_3079919	0.043775	6.96E-04	5.548317	-0.06726	Ahnak
-1.24695261	ILMN_1259252	0.001481	1.15E-06	14.2258861	6.0297	Anxa1
-1.24577268	ILMN_2762966	0.108678	3.16E-03	4.2822589	-1.63912	Siglec1
-1.24567426	ILMN_2615145	0.024428	2.58E-04	6.495545	0.95342	Fbxw17
-1.24299773	ILMN_2760095	0.002873	3.62E-06	12.1192622	5.05601	
-1.24270977	ILMN_2888191	0.121248	3.82E-03	4.1371231	-1.83507	Ccr5
-1.23800612	ILMN_2610234	0.124537	4.05E-03	4.0915402	-1.89727	Il15
-1.23679021	ILMN_2899599	0.537584	4.82E-02	2.3603907	-4.42946	Ddx3y
-1.22880951	ILMN_2759309	0.010286	5.41E-05	8.2230159	2.52244	Rnase6
-1.22656946	ILMN_1244891	0.088501	2.26E-03	4.5455421	-1.29187	Cst7
-1.22605439	ILMN_2595814	0.346451	2.18E-02	2.8896408	-3.6335	Jhdm1d
-1.2250696	ILMN_1213836	0.01367	9.09E-05	7.6129923	2.00725	Ly6f
-1.22416432	ILMN_2733482	0.027155	3.10E-04	6.3132888	0.76666	Gca
-1.22384201	ILMN_2965414	0.059623	1.16E-03	5.1011338	-0.59432	Ankrd22
-1.22206008	ILMN_1257771	0.00186	2.04E-06	13.129228	5.55002	
-1.21370493	ILMN_2852904	0.006873	2.55E-05	9.1770088	3.25412	Ublcp1
-1.21195163	ILMN_1230287	0.184305	7.73E-03	3.6135583	-2.56736	Cd300ld
-1.21185766	ILMN_2733733	0.12813	4.23E-03	4.0594855	-1.94119	Tlr2
-1.21071798	ILMN_2692696	0.095377	2.56E-03	4.446533	-1.4212	Pla2g7
-1.21051287	ILMN_2873988	0.004134	6.76E-06	11.0969286	4.49715	Rtp4
-1.20687934	ILMN_2492716	0.014941	1.07E-04	7.4332296	1.84772	Uaca
-1.20684997	ILMN_2710819	0.004777	1.13E-05	10.317007	4.02538	Csf1r
-1.2067649	ILMN_3162426	0.063568	1.31E-03	4.9975791	-0.72071	Rnase12
-1.2058738	ILMN_2621752	0.054304	9.91E-04	5.2355568	-0.4327	Irf5
-1.20583303	ILMN_2924831	0.048798	8.31E-04	5.3899239	-0.2505	Gas7
-1.20154282	ILMN_2715840	0.17537	7.11E-03	3.6740766	-2.48079	C1qc
-1.19761742	ILMN_2728038	0.092742	2.42E-03	4.492728	-1.36067	Arhgap24
-1.19431757	ILMN_2833441	0.007393	2.88E-05	9.0143152	3.13527	Trafd1
-1.19151473	ILMN_3162879	0.035763	5.01E-04	5.8510637	0.27272	Stx3
-1.18678452	ILMN_2593196	0.008198	3.68E-05	8.7019094	2.90039	Stat1
-1.1850603	ILMN_2793817	0.008034	3.47E-05	8.775788	2.95674	Cldn15
-1.18484176	ILMN_2587721	0.005024	1.36E-05	10.0452876	3.85082	Pira1
-1.18178526	ILMN_2906489	0.007393	2.94E-05	8.9905534	3.11772	Mocos
-1.18165884	ILMN_1222795	0.173203	6.93E-03	3.6922862	-2.45483	Ccr2
-1.18137125	ILMN_2825803	0.122232	3.89E-03	4.1230239	-1.85428	Parp14
-1.17762324	ILMN_3160218	0.016348	1.33E-04	7.1891135	1.62517	Amica1
-1.17364419	ILMN_3159720	0.144954	5.14E-03	3.9129419	-2.14389	Rin2
-1.17314928	ILMN_1239472	0.089804	2.30E-03	4.5319164	-1.30958	Ceacam2
-1.1695804	ILMN_1255416	0.057905	1.09E-03	5.1541117	-0.53029	Ly6a
-1.16716183	ILMN_2663249	0.330342	2.03E-02	2.9392871	-3.55902	Slamf9
-1.16149487	ILMN_2433955	0.097469	2.66E-03	4.4161347	-1.46122	Irg1
-1.15502733	ILMN_3142257	0.005363	1.53E-05	9.8758468	3.73913	Mtus1
-1.15376953	ILMN_2719256	0.115877	3.52E-03	4.1982141	-1.75221	Mpo
-1.15213561	ILMN_1247933	0.007714	3.23E-05	8.8692847	3.02734	Lyz1
-1.14747027	ILMN_2512149	0.116888	3.57E-03	4.188704	-1.76507	
-1.14634797	ILMN_2759484	0.11658	3.56E-03	4.1913259	-1.76152	C3
-1.14572364	ILMN_1236868	0.094243	2.49E-03	4.4688812	-1.39188	Id2
-1.14508886	ILMN_2657822	0.008218	3.73E-05	8.683127	2.88598	Stat2
-1.14498431	ILMN_1250149	0.006873	2.51E-05	9.1979152	3.26922	Dnmt3l
-1.14261705	ILMN_1259564	0.016348	1.34E-04	7.184246	1.62066	Irgm2
-1.1415746	ILMN_2792868	0.054268	9.85E-04	5.2403433	-0.427	Blvrb
-1.14001216	ILMN_2437513	0.02129	2.07E-04	6.7204431	1.17786	
-1.13415348	ILMN_2756353	0.115091	3.49E-03	4.2062501	-1.74135	Emr1
-1.13402555	ILMN_2655721	0.013968	9.50E-05	7.5624256	1.96274	Stat1
-1.13282916	ILMN_2509737	0.004299	7.44E-06	10.9464908	4.40938	Trex1
-1.13187641	ILMN_1238346	0.018896	1.76E-04	6.891002	1.34378	Tmem106a
-1.13062477	ILMN_2694179	0.001841	1.83E-06	13.3302574	5.64213	Ccl6
-1.12393693	ILMN_2866276	0.00186	1.94E-06	13.225689	5.59446	Csf2ra
-1.12385944	ILMN_2665307	0.00455	8.54E-06	10.7348161	4.28333	Pilra
-1.12274701	ILMN_2639239	0.145494	5.16E-03	3.9094562	-2.14875	Serpinf1
-1.12077238	ILMN_2681057	0.072194	1.62E-03	4.816166	-0.94612	Acer3
-1.12024099	ILMN_3019158	0.013911	9.40E-05	7.5744269	1.97333	Ms4a7
