logFC	ID	adj.P.Val	P.Value	t	B	logFC	logFC	Gene.symbol
-1.8704818	ILMN_2524865	0.0308602	8.46E-05	7.4634896	2.03592	1.87048176	-1.87048176	Chi3l4
-1.8044915	ILMN_2794741	0.0025586	4.52E-07	15.3214331	6.16028	1.80449149	-1.80449149	Gm5416
-1.7783760	ILMN_2613878	0.0388579	1.34E-04	6.9800194	1.61008	1.778376	-1.778376	Prg2
-1.7279518	ILMN_1234774	0.0039745	2.28E-06	12.3366621	5.05761	1.72795176	-1.72795176	2010005H15Rik
-1.7143383	ILMN_1218181	0.0620467	3.08E-04	6.1607818	0.81787	1.71433827	-1.71433827	Ifitm6
-1.7109332	ILMN_1246194	0.0085322	8.40E-06	10.3325573	4.04779	1.71093319	-1.71093319	
-1.6903014	ILMN_2872058	0.0294346	7.22E-05	7.6377988	2.18241	1.69030139	-1.69030139	Ctsh
-1.6893001	ILMN_1254685	0.1690598	2.24E-03	4.4747546	-1.13024	1.68930013	-1.68930013	Gm4951
-1.6847703	ILMN_2712986	0.0253493	4.92E-05	8.0699879	2.53043	1.6847703	-1.6847703	Chi3l3
-1.6665383	ILMN_2762944	0.0292196	7.10E-05	7.6558636	2.19739	1.66653834	-1.66653834	Ifi27l2a
-1.6498500	ILMN_2660466	0.1629793	2.10E-03	4.524517	-1.06618	1.64984997	-1.64984997	
-1.6304636	ILMN_2775154	0.0463499	1.90E-04	6.6250219	1.27815	1.63046355	-1.63046355	Ctsh
-1.6233351	ILMN_1237186	0.0330258	9.96E-05	7.2893873	1.88594	1.62333514	-1.62333514	Spint1
-1.6030660	ILMN_3043036	0.0732402	4.08E-04	5.9026428	0.54843	1.60306601	-1.60306601	Chi3l3
-1.5864346	ILMN_1230458	0.0024346	3.76E-07	15.6987607	6.27361	1.58643462	-1.58643462	Ifit3
-1.5621081	ILMN_2944666	0.210759	3.29E-03	4.1832311	-1.51352	1.56210813	-1.56210813	Ifit3
-1.5554184	ILMN_1242647	0.0120516	1.70E-05	9.3695452	3.45883	1.55541843	-1.55541843	Stfa2l1
-1.5293041	ILMN_1229197	0.0270281	6.45E-05	7.7627816	2.28524	1.52930414	-1.52930414	Gm14446
-1.5143608	ILMN_1258735	0.0031499	1.32E-06	13.2772164	5.44944	1.51436079	-1.51436079	Itgb2l
-1.4659721	ILMN_3117876	0.099913	7.17E-04	5.402648	-0.00231	1.46597207	-1.46597207	Chi3l3
-1.4232651	ILMN_1231204	0.0647867	3.34E-04	6.0851836	0.73998	1.42326506	-1.42326506	Amica1
-1.4149706	ILMN_3091003	0.0043235	2.77E-06	12.0185864	4.91426	1.41497061	-1.41497061	Ms4a7
-1.4106942	ILMN_3161652	0.0806018	4.79E-04	5.7565067	0.39146	1.4106942	-1.4106942	Clec4a3
-1.3942965	ILMN_1212938	0.0266364	6.16E-05	7.8136917	2.32661	1.39429648	-1.39429648	Aif1
-1.3833984	ILMN_1247377	0.1115327	8.77E-04	5.231438	-0.19992	1.38339843	-1.38339843	Mpeg1
-1.3548768	ILMN_2959372	0.0307638	7.92E-05	7.5362822	2.09753	1.35487684	-1.35487684	Clec4b1
-1.3484083	ILMN_1219074	0.2754033	5.28E-03	3.8368323	-1.98625	1.34840827	-1.34840827	Slfn2
-1.3152985	ILMN_2827780	0.0329388	9.53E-05	7.336082	1.92653	1.31529845	-1.31529845	D14Ertd668e
-1.2878290	ILMN_1230708	0.0443628	1.75E-04	6.706624	1.35595	1.28782897	-1.28782897	Clec4a1
-1.2759504	ILMN_2715042	0.0386671	1.31E-04	6.9998953	1.62817	1.27595041	-1.27595041	Sdc3
-1.2638896	ILMN_2772710	0.2433433	4.19E-03	4.004209	-1.75555	1.26388963	-1.26388963	Ms4a6c
-1.2610853	ILMN_2771380	0.1659288	2.18E-03	4.4980363	-1.10022	1.26108529	-1.26108529	Cd52
-1.2507730	ILMN_1241955	0.2596805	4.60E-03	3.9364818	-1.8484	1.25077298	-1.25077298	Dnali1
-1.2371183	ILMN_1216880	0.003276	1.66E-06	12.8728828	5.28662	1.23711833	-1.23711833	Emr1
-1.2335206	ILMN_2693019	0.0620467	3.07E-04	6.1644327	0.82161	1.23352056	-1.23352056	Acpp
-1.2260255	ILMN_2696491	0.0253493	4.95E-05	8.0621507	2.5243	1.22602549	-1.22602549	Phf11
-1.2243743	ILMN_1225118	0.0656737	3.44E-04	6.0593042	0.71313	1.22437429	-1.22437429	
-1.2160940	ILMN_1248388	0.01638	2.68E-05	8.7954684	3.06923	1.21609399	-1.21609399	
-1.2108211	ILMN_2684848	0.3894966	1.14E-02	3.297578	-2.75571	1.21082109	-1.21082109	D14Ertd668e
-1.2009009	ILMN_2861051	0.328161	7.70E-03	3.5691392	-2.36356	1.20090085	-1.20090085	Mrgpra7
-1.1761907	ILMN_2844996	0.2379762	3.97E-03	4.0436046	-1.70186	1.17619067	-1.17619067	Actn1
-1.1759320	ILMN_2696492	0.0851754	5.40E-04	5.6503127	0.27534	1.17593197	-1.17593197	Phf11
-1.1739830	ILMN_1256257	0.0126883	1.88E-05	9.2433765	3.37582	1.17398298	-1.17398298	Isg15
-1.1733461	ILMN_2712075	0.0368529	1.22E-04	7.0752633	1.69631	1.17334605	-1.17334605	Lcn2
-1.1731896	ILMN_2595714	0.1253157	1.15E-03	5.0030132	-0.47092	1.17318963	-1.17318963	Fn1
-1.1690391	ILMN_1242457	0.0824898	5.03E-04	5.7134789	0.34462	1.16903909	-1.16903909	Fpr2
-1.1672109	ILMN_1222860	0.1041847	7.82E-04	5.3281801	-0.08768	1.16721092	-1.16721092	Gm5150
-1.1647723	ILMN_1256025	0.0052963	3.74E-06	11.5376617	4.68614	1.16477234	-1.16477234	
-1.1590930	ILMN_2608719	0.1276674	1.18E-03	4.9858074	-0.49168	1.15909301	-1.15909301	Clec5a
-1.1494844	ILMN_3010089	0.0059473	4.99E-06	11.0946922	4.46312	1.14948442	-1.14948442	Ifi204
-1.1469263	ILMN_2761585	0.0647177	3.30E-04	6.0967717	0.75197	1.14692625	-1.14692625	
-1.1356101	ILMN_2602352	0.0307638	8.34E-05	7.4799004	2.04986	1.1356101	-1.1356101	Ms4a6d
-1.1347206	ILMN_2981169	0.0230435	4.12E-05	8.2750218	2.68827	1.13472059	-1.13472059	Ifit2
-1.1335476	ILMN_1224110	0.3797952	1.06E-02	3.3465834	-2.68432	1.13354762	-1.13354762	Bst2
-1.1273741	ILMN_3073899	0.0253493	5.23E-05	7.9990177	2.47472	1.1273741	-1.1273741	Pira11
-1.1184726	ILMN_2526938	0.5868619	2.99E-02	2.6531808	-3.71179	1.1184726	-1.1184726	Pydc4
-1.1131446	ILMN_2640346	0.1622382	2.08E-03	4.5320573	-1.05651	1.11314458	-1.11314458	P2ry13
-1.1106857	ILMN_2512149	0.2863686	5.87E-03	3.7608499	-2.09234	1.11068567	-1.11068567	
-1.1104097	ILMN_1223311	0.2822956	5.72E-03	3.7796105	-2.06607	1.11040974	-1.11040974	Ifi44
-1.1076956	ILMN_2520174	0.200366	3.03E-03	4.2448323	-1.43139	1.10769558	-1.10769558	6530402F18Rik
-1.1056738	ILMN_1219896	0.1772936	2.43E-03	4.4121915	-1.21134	1.1056738	-1.1056738	Pydc4
-1.1044073	ILMN_2920849	0.1058555	8.00E-04	5.3096391	-0.10908	1.10440734	-1.10440734	Pira4
-1.1014275	ILMN_2804487	0.0151544	2.37E-05	8.9446115	3.17342	1.10142747	-1.10142747	Aif1
-1.1008027	ILMN_2473066	0.1955369	2.93E-03	4.2715778	-1.39593	1.10080268	-1.10080268	
-1.0996619	ILMN_1254577	0.4503521	1.54E-02	3.0931809	-3.05603	1.09966187	-1.09966187	AI607873
-1.0855929	ILMN_2663930	0.1669447	2.20E-03	4.4888342	-1.11207	1.08559286	-1.08559286	Slfn1
-1.0827071	ILMN_2771766	0.141551	1.49E-03	4.7943785	-0.72586	1.08270705	-1.08270705	Ccl12
-1.0813466	ILMN_2965414	0.1691633	2.26E-03	4.4675248	-1.13958	1.08134658	-1.08134658	Ankrd22
-1.0778064	ILMN_2847787	0.010247	1.24E-05	9.7944243	3.72813	1.07780641	-1.07780641	Emr1
-1.0760368	ILMN_2953513	0.0465486	1.93E-04	6.612654	1.26628	1.07603678	-1.07603678	Aldh3b1
-1.0728818	ILMN_1233449	0.0915475	6.22E-04	5.5259328	0.13711	1.07288176	-1.07288176	
-1.0713258	ILMN_3079919	0.0941173	6.51E-04	5.485918	0.09212	1.07132576	-1.07132576	Ahnak
-1.0694938	ILMN_1228102	0.2044575	3.13E-03	4.2198449	-1.46463	1.06949381	-1.06949381	Ppbp
-1.0640062	ILMN_2810882	0.546499	2.44E-02	2.786347	-3.51257	1.06400622	-1.06400622	Ppic
-1.0613703	ILMN_2731331	0.0331046	1.01E-04	7.2753509	1.87368	1.06137026	-1.06137026	Pkd2l1
-1.0577504	ILMN_1229523	0.0344621	1.10E-04	7.1879758	1.79685	1.05775036	-1.05775036	Fcgr1
-1.0555188	ILMN_1230327	0.5007696	2.00E-02	2.9176941	-3.31652	1.05551881	-1.05551881	
-1.0512083	ILMN_1251541	0.4736421	1.75E-02	3.0074734	-3.183	1.05120825	-1.05120825	
-1.0510401	ILMN_2785586	0.282234	5.71E-03	3.780974	-2.06416	1.05104014	-1.05104014	Fbp1
-1.0507849	ILMN_2939681	0.4784535	1.82E-02	2.9835145	-3.21858	1.0507849	-1.0507849	Lyz2
-1.0431562	ILMN_1248347	0.1877507	2.76E-03	4.315926	-1.33737	1.0431562	-1.0431562	Nfam1
-1.0387795	ILMN_2983516	0.0806018	4.78E-04	5.7578037	0.39286	1.03877946	-1.03877946	Slc11a1
-1.0325758	ILMN_2889020	0.1386205	1.45E-03	4.8195311	-0.69475	1.03257581	-1.03257581	Ltf
-1.0285151	ILMN_1253273	0.2755439	5.32E-03	3.8308015	-1.99464	1.02851513	-1.02851513	Clec5a
-1.0281576	ILMN_2918977	0.0253493	5.08E-05	8.0315922	2.50036	1.02815761	-1.02815761	Mar-01
-1.0261429	ILMN_1243329	0.1493096	1.78E-03	4.6528469	-0.90286	1.02614289	-1.02614289	Dab2
-1.0247954	ILMN_1246861	0.0566136	2.55E-04	6.3405279	0.99971	1.02479543	-1.02479543	Ctss
-1.0239449	ILMN_2652500	0.0331503	1.02E-04	7.2586386	1.85906	1.02394485	-1.02394485	Lrg1
-1.0237146	ILMN_1241695	0.3656923	9.73E-03	3.4060543	-2.59804	1.02371462	-1.02371462	Ms4a6d
-1.0210150	ILMN_2908435	0.0659301	3.49E-04	6.0440355	0.69723	1.02101499	-1.02101499	Ppbp
-1.0204937	ILMN_2789900	0.061037	2.93E-04	6.2095016	0.86762	1.02049368	-1.02049368	Cd177
-1.0201375	ILMN_2771176	0.3065408	6.74E-03	3.6629599	-2.23021	1.02013751	-1.02013751	Ccl7
-1.0135791	ILMN_3151243	0.053508	2.38E-04	6.409006	1.06777	1.01357912	-1.01357912	BC094916
-1.0127209	ILMN_1222246	0.2749773	5.26E-03	3.839522	-1.98251	1.01272094	-1.01272094	Plin2
-1.0085142	ILMN_2492716	0.0817082	4.94E-04	5.7284618	0.36096	1.00851421	-1.00851421	Uaca
-1.0081989	ILMN_2759309	0.0569113	2.60E-04	6.3215019	0.98068	1.00819893	-1.00819893	Rnase6
-1.0076974	ILMN_3154691	0.2677042	4.97E-03	3.8808499	-1.92518	1.00769739	-1.00769739	Sirpb1a
-1.0040116	ILMN_2906489	0.0266364	6.24E-05	7.8000131	2.31553	1.00401161	-1.00401161	Mocos
-1.0023927	ILMN_2707870	0.0204181	3.52E-05	8.4632942	2.82928	1.00239271	-1.00239271	Mx1
1.0046158	ILMN_2642148	0.0120349	1.67E-05	-9.3919114	3.4734	-1.00461584	1.00461584	Pbx3
1.0078700	ILMN_2645448	0.1234083	1.11E-03	-5.0355807	-0.43177	-1.00786996	1.00786996	Armcx1
1.0118091	ILMN_3141165	0.0514267	2.21E-04	-6.4767922	1.13449	-1.01180907	1.01180907	Gimap1
1.0129318	ILMN_2744657	0.0918331	6.29E-04	-5.5165356	0.12656	-1.01293177	1.01293177	
1.0223527	ILMN_2675223	0.1296818	1.21E-03	-4.9639005	-0.51817	-1.02235271	1.02235271	Cd33
1.0236815	ILMN_3163288	0.0043235	2.61E-06	-12.1120416	4.95698	-1.02368154	1.02368154	Egfl7
1.0321442	ILMN_1250001	0.0779825	4.51E-04	-5.8105164	0.44985	-1.03214423	1.03214423	Mgarp
1.0358972	ILMN_2732430	0.0253493	5.46E-05	-7.9490249	2.43515	-1.03589716	1.03589716	Rgs8
1.0426564	ILMN_1214950	0.0903167	5.90E-04	-5.5714829	0.18801	-1.04265638	1.04265638	Mef2c
1.0464706	ILMN_2819558	0.0647867	3.37E-04	-6.0770325	0.73153	-1.04647056	1.04647056	
1.0492535	ILMN_1231506	0.1107419	8.68E-04	-5.2398106	-0.19015	-1.04925354	1.04925354	Cnrip1
1.0568666	ILMN_1220398	0.1304594	1.28E-03	-4.9207631	-0.57058	-1.05686662	1.05686662	Armcx2
1.0586361	ILMN_1254031	0.1436186	1.57E-03	-4.7538654	-0.77619	-1.05863614	1.05863614	Klf9
1.0645928	ILMN_2513451	0.0125402	1.83E-05	-9.2779507	3.39871	-1.06459282	1.06459282	Klhl24
1.0667889	ILMN_1233589	0.0253493	5.52E-05	-7.9367833	2.42542	-1.06678893	1.06678893	Cd27
1.0735040	ILMN_2485323	0.0238311	4.37E-05	-8.2070773	2.63647	-1.07350404	1.07350404	Trf
1.0786526	ILMN_2642147	0.0057717	4.59E-06	-11.223455	4.52928	-1.07865264	1.07865264	Pbx3
1.0807202	ILMN_2644719	0.0692812	3.80E-04	-5.9677118	0.61728	-1.08072023	1.08072023	Hmgn3
1.0863296	ILMN_1230587	0.3453102	8.56E-03	-3.4951313	-2.46956	-1.08632958	1.08632958	Lpxn
1.1038562	ILMN_1234072	0.0495699	2.12E-04	-6.5176414	1.17438	-1.10385616	1.10385616	Pdlim1
1.1113655	ILMN_1247704	0.0738797	4.14E-04	-5.8875336	0.53235	-1.1113655	1.1113655	Hmgn3
1.1136122	ILMN_2887992	0.0419105	1.54E-04	-6.8365227	1.47793	-1.11361222	1.11361222	Mef2c
1.1231994	ILMN_2654624	0.0266364	6.01E-05	-7.8411298	2.34879	-1.12319944	1.12319944	
1.1257483	ILMN_2622983	0.6542453	4.22E-02	-2.4289656	-4.04683	-1.12574826	1.12574826	Dusp1
1.1412894	ILMN_3160137	0.1448445	1.68E-03	-4.70138	-0.8418	-1.14128937	1.14128937	Aldoc
1.1472009	ILMN_1232621	0.0307638	8.36E-05	-7.4773545	2.0477	-1.14720094	1.14720094	Ank
1.1571432	ILMN_2666279	0.1297465	1.22E-03	-4.9574425	-0.526	-1.15714323	1.15714323	
1.1667878	ILMN_2732465	0.0434086	1.63E-04	-6.780068	1.42519	-1.16678775	1.16678775	Mef2c
1.1763754	ILMN_2771034	0.010247	1.19E-05	-9.850263	3.76239	-1.17637541	1.17637541	Mfge8
1.1771356	ILMN_1225037	0.0462012	1.89E-04	-6.6335325	1.28631	-1.17713564	1.17713564	Arhgap32
1.1827580	ILMN_2722938	0.2154067	3.38E-03	-4.1636661	-1.53972	-1.18275804	1.18275804	Ppp1r15a
1.1857741	ILMN_2847115	0.0085322	8.77E-06	-10.2699839	4.0118	-1.18577411	1.18577411	Niacr1
1.1878381	ILMN_1217855	0.0069654	6.15E-06	-10.7821481	4.29783	-1.18783807	1.18783807	Nkg7
1.1926225	ILMN_2645208	0.2005469	3.05E-03	-4.240435	-1.43724	-1.19262253	1.19262253	Arhgef3
1.2004937	ILMN_2484527	0.037029	1.24E-04	-7.0579165	1.68069	-1.20049365	1.20049365	Vegfa
1.2019795	ILMN_2778111	0.010247	1.32E-05	-9.709185	3.67534	-1.20197954	1.20197954	Etv4
1.2157865	ILMN_2711355	0.003276	1.49E-06	-13.0615748	5.36362	-1.21578647	1.21578647	Dmwd
1.2219329	ILMN_3131478	0.2422767	4.14E-03	-4.0130877	-1.74343	-1.2219329	1.2219329	Bcat1
1.2273816	ILMN_2768482	0.0396746	1.42E-04	-6.9200504	1.55518	-1.22738164	1.22738164	Mtus2
1.2369457	ILMN_2588474	0.0329388	9.47E-05	-7.3428428	1.93238	-1.23694569	1.23694569	Homer2
1.2428635	ILMN_2914010	0.0085322	8.74E-06	-10.2755923	4.01504	-1.24286347	1.24286347	Dmwd
1.2712008	ILMN_1223257	0.1666581	2.19E-03	-4.4914595	-1.10869	-1.27120076	1.27120076	Ccl4
1.2896997	ILMN_3133448	0.0329388	9.60E-05	-7.3279769	1.9195	-1.28969967	1.28969967	Mfge8
1.3028439	ILMN_1244618	0.0386671	1.32E-04	-6.9916954	1.62071	-1.30284388	1.30284388	Dlk1
1.3062546	ILMN_2476329	0.010247	1.34E-05	-9.6918818	3.66455	-1.3062546	1.3062546	Whrn
1.3326683	ILMN_2645071	0.0316741	8.95E-05	-7.4028658	1.98411	-1.33266833	1.33266833	Nrgn
1.3335276	ILMN_3143483	0.008723	9.63E-06	-10.1390466	3.93549	-1.33352755	1.33352755	Lat2
1.3669596	ILMN_3158725	0.1253157	1.15E-03	-5.0079608	-0.46496	-1.36695962	1.36695962	Raet1b
1.3753702	ILMN_3128992	0.0253493	5.48E-05	-7.9455116	2.43236	-1.37537016	1.37537016	Cd27
1.3861776	ILMN_2777769	0.1297465	1.24E-03	-4.9428977	-0.54365	-1.38617755	1.38617755	H2-DMa
1.4346536	ILMN_1254622	0.0465562	1.95E-04	-6.6005433	1.25463	-1.43465355	1.43465355	Pcp4l1
1.4346719	ILMN_2733605	0.1468068	1.73E-03	-4.6749814	-0.87496	-1.43467188	1.43467188	Dnajc6
1.4456216	ILMN_1230224	0.0307638	7.93E-05	-7.5347096	2.09621	-1.44562161	1.44562161	Dnajc6
1.4979415	ILMN_2723108	0.0057717	4.28E-06	-11.3275369	4.58195	-1.49794152	1.49794152	Tsc22d1
1.5009713	ILMN_1246770	0.0915475	6.10E-04	-5.5433451	0.1566	-1.50097131	1.50097131	
1.5104386	ILMN_1258462	0.0308602	8.52E-05	-7.4565079	2.02997	-1.51043857	1.51043857	Hoxa9
1.5728387	ILMN_2621038	0.0052588	3.51E-06	-11.6380118	4.73491	-1.57283866	1.57283866	Hoxa7
1.5788225	ILMN_2702374	0.0031499	7.28E-07	-14.3784472	5.85399	-1.57882254	1.57882254	Ppm1e
1.5892862	ILMN_2866856	0.1559311	1.94E-03	-4.5888882	-0.98393	-1.58928621	1.58928621	H2-DMa
1.6583690	ILMN_1237666	0.0558648	2.50E-04	-6.3580012	1.01714	-1.65836895	1.65836895	Hgf
1.6947301	ILMN_2670690	0.0031499	1.22E-06	-13.4225051	5.50598	-1.69473005	1.69473005	H2-Ob
1.6979169	ILMN_2719973	0.0111844	1.49E-05	-9.5448901	3.57186	-1.69791688	1.69791688	Gpc3
1.7312998	ILMN_2645155	0.0460086	1.86E-04	-6.6489058	1.30101	-1.73129983	1.73129983	Hoxa9
1.7836895	ILMN_2649199	0.0031499	1.25E-06	-13.3743272	5.48734	-1.78368952	1.78368952	Hpgd
1.9014078	ILMN_2422982	0.0057717	4.39E-06	-11.2902055	4.56314	-1.90140784	1.90140784	Synpo
1.9631575	ILMN_1217978	0.0034153	1.81E-06	-12.7279013	5.22621	-1.96315753	1.96315753	Hoxa5
2.0096536	ILMN_2832979	0.0203548	3.46E-05	-8.4824825	2.84344	-2.00965358	2.00965358	Gpc3
2.0879166	ILMN_2638487	0.0012223	9.71E-08	-18.7767982	7.03709	-2.08791661	2.08791661	Eya1
2.1292858	ILMN_2692615	0.003276	1.64E-06	-12.8952489	5.29584	-2.12928575	2.12928575	Tgm2
2.2058390	ILMN_2430513	0.0031499	1.25E-06	-13.3732629	5.48693	-2.205839	2.205839	Eya1
2.2350254	ILMN_1218264	0.006026	5.19E-06	-11.0356734	4.43243	-2.23502537	2.23502537	Vldlr
2.2424710	ILMN_1253919	0.0031499	9.56E-07	-13.8663691	5.67261	-2.24247104	2.24247104	Ccl3
2.2550710	ILMN_2771738	0.0075428	6.83E-06	-10.6293121	4.2145	-2.25507097	2.25507097	Dlk1
2.2846278	ILMN_2706462	0.0031499	8.97E-07	-13.9849946	5.71563	-2.28462775	2.28462775	Il12a
2.4707946	ILMN_2662926	0.5482761	2.49E-02	-2.7730017	-3.53252	-2.47079464	2.47079464	Egr1
2.4930132	ILMN_2515601	0.0057717	4.59E-06	-11.2224568	4.52877	-2.49301324	2.49301324	Vldlr
2.6169321	ILMN_2764588	0.0207538	3.62E-05	-8.4285775	2.80356	-2.61693211	2.61693211	Igfbp7
2.6548134	ILMN_2796472	0.0031499	7.61E-07	-14.2942228	5.82492	-2.65481337	2.65481337	Vldlr
3.0144785	ILMN_1224540	0.0156626	2.53E-05	-8.8679056	3.1201	-3.01447845	3.01447845	Eltd1
